This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Military expenditures - percent of GDP(%) 	 Date of Information
116 	 Ukraine 	      1.40 	 FY02
117 	 Thailand 	      1.40 	 
118 	 Trinidad and Tobago 	      1.40 	 1999
119 	 Senegal 	      1.40 	 FY02
120 	 Papua New Guinea 	      1.40 	 FY02
121 	 Paraguay 	      1.40 	 
122 	 Kyrgyzstan 	      1.40 	 FY01
123 	 Cote d'Ivoire 	      1.40 	 FY02
124 	 Cameroon 	      1.40 	 FY98
125 	 Germany 	      1.38 	 2002
126 	 Argentina 	      1.30 	 FY00
127 	 Haiti 	      1.30 	 FY00
128 	 Indonesia 	      1.30 	 
129 	 Liberia 	      1.30 	 FY02
130 	 Panama 	      1.30 	 
131 	 Latvia 	      1.20 	 FY01
132 	 Nicaragua 	      1.20 	 
133 	 Madagascar 	      1.20 	 FY02
134 	 Spain 	      1.15 	 2002
135 	 Canada 	      1.10 	 FY01/02
136 	 Central African Republic 	      1.10 	 FY02
137 	 Dominican Republic 	      1.10 	 
138 	 Niger 	      1.10 	 FY02
139 	 Nepal 	      1.10 	 FY02
140 	 Uruguay 	      1.10 	 2000
141 	 Japan 	      1.00 	 FY02
142 	 Mexico 	      1.00 	 
143 	 Mozambique 	      1.00 	 
144 	 New Zealand 	      1.00 	 FY02
145 	 Switzerland 	      1.00 	 FY01
146 	 Nigeria 	      1.00 	 FY02
147 	 Ireland 	      0.90 	 FY00/01
148 	 Venezuela 	      0.90 	 
149 	 Zambia 	      0.90 	 FY02
150 	 Somalia 	      0.90 	 FY02
151 	 Kazakhstan 	      0.90 	 FY02
152 	 Austria 	      0.80 	 FY01/02
153 	 Sao Tome and Principe 	      0.80 	 FY01
154 	 Luxembourg 	      0.80 	 FY01/02
155 	 Bahamas, The 	      0.70 	 FY99
156 	 Malawi 	      0.70 	 FY02
157 	 El Salvador 	      0.70 	 
158 	 Ghana 	      0.60 	 FY02
159 	 Guatemala 	      0.60 	 
160 	 Honduras 	      0.60 	 
161 	 Georgia 	      0.59 	 
162 	 Moldova 	      0.40 	 FY02
163 	 Gambia, The 	      0.30 	 FY02
164 	 Mauritius 	      0.20 	 FY02
165 	 Tanzania 	      0.20 	 FY02
166 	 Bermuda 	      0.11 	 

 This file was last updated on 18 December, 2003
