This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Electricity - production(kWh) 	 Date of Information
103 	 Burma 	      6,139,000,000 	 2001
104 	 Trinidad and Tobago 	      5,315,000,000 	 2001
105 	 Albania 	      5,289,000,000 	 2001
106 	 Congo, Democratic Republic of the 	      5,243,000,000 	 2001
107 	 Cote d'Ivoire 	      4,605,000,000 	 2001
108 	 Latvia 	      4,365,000,000 	 2001
109 	 Panama 	      4,039,000,000 	 2001
110 	 Kenya 	      4,033,000,000 	 2001
111 	 Bolivia 	      3,901,000,000 	 2001
112 	 Honduras 	      3,778,000,000 	 2001
113 	 El Salvador 	      3,729,000,000 	 2001
114 	 Cameroon 	      3,613,000,000 	 2001
115 	 Cyprus 	      3,401,000,000 	 2001
116 	 Moldova 	      3,394,000,000 	 2001
117 	 Yemen 	      3,010,000,000 	 2001
118 	 Tanzania 	      2,906,000,000 	 2001
119 	 Nicaragua 	      2,549,000,000 	 2001
120 	 Brunei 	      2,497,000,000 	 2001
121 	 Sudan 	      2,389,000,000 	 2001
122 	 Mongolia 	      2,225,000,000 	 2001
123 	 Suriname 	      1,959,000,000 	 2001
124 	 Uganda 	      1,928,000,000 	 2001
125 	 Bhutan 	      1,896,000,000 	 2001
126 	 Malta 	      1,768,000,000 	 2001
127 	 Nepal 	      1,755,000,000 	 2001
128 	 Ethiopia 	      1,713,000,000 	 2001
129 	 New Caledonia 	      1,613,000,000 	 2001
130 	 Macau 	      1,611,000,000 	 2002
131 	 Bahamas, The 	      1,560,000,000 	 2001
132 	 Senegal 	      1,518,000,000 	 2001
133 	 Papua New Guinea 	      1,496,000,000 	 2001
134 	 Angola 	      1,450,000,000 	 2001
135 	 Laos 	      1,317,000,000 	 2001
136 	 Mauritius 	      1,311,000,000 	 2001
137 	 Guadeloupe 	      1,155,000,000 	 2001
138 	 Martinique 	      1,151,000,000 	 2001
139 	 Reunion 	      1,080,000,000 	 2001
140 	 Netherlands Antilles 	      1,061,000,000 	 2001
141 	 Virgin Islands 	      1,030,000,000 	 2001
142 	 Guyana 	       852,000,000 	 2001
143 	 Madagascar 	       830,200,000 	 2001
144 	 Guam 	       830,000,000 	 2001
145 	 Gabon 	       798,400,000 	 2001
146 	 Guinea 	       790,600,000 	 2001
147 	 Barbados 	       780,000,000 	 2001
148 	 Malawi 	       769,200,000 	 2001
149 	 Bermuda 	       643,700,000 	 2001
150 	 Haiti 	       580,000,000 	 2001
151 	 Aruba 	       531,900,000 	 2001
152 	 Fiji 	       520,100,000 	 2001
153 	 Mali 	       480,200,000 	 2001
154 	 Liberia 	       468,800,000 	 2001
155 	 Luxembourg 	       457,000,000 	 2001
156 	 French Guiana 	       455,000,000 	 2001
157 	 French Polynesia 	       428,300,000 	 2001
158 	 Botswana 	       409,800,000 	 2001
159 	 Cayman Islands 	       381,900,000 	 2001
160 	 Congo, Republic of the 	       358,100,000 	 2001
161 	 Swaziland 	       348,300,000 	 2001
162 	 Afghanistan 	       334,800,000 	 2001
163 	 Burkina Faso 	       279,200,000 	 2001
164 	 Benin 	       274,300,000 	 2001
165 	 Sierra Leone 	       250,100,000 	 2001
166 	 Somalia 	       245,100,000 	 2001
167 	 Greenland 	       245,000,000 	 2001
168 	 Niger 	       242,000,000 	 2001
169 	 Eritrea 	       220,500,000 	 2001
170 	 Belize 	       199,500,000 	 2001
171 	 Djibouti 	       180,000,000 	 2001
172 	 Faroe Islands 	       160,400,000 	 2001
173 	 Seychelles 	       160,000,000 	 2001
174 	 Mauritania 	       157,400,000 	 2001
175 	 Burundi 	       155,400,000 	 2001
176 	 Grenada 	       138,000,000 	 2001
177 	 American Samoa 	       130,000,000 	 2001
178 	 Saint Lucia 	       120,200,000 	 2001
179 	 Cambodia 	       119,000,000 	 2001
180 	 Maldives 	       117,000,000 	 2001
181 	 Central African Republic 	       106,000,000 	 2001
182 	 Antigua and Barbuda 	       105,300,000 	 2001
183 	 Samoa 	       105,100,000 	 2001
184 	 Togo 	       101,600,000 	 2001
185 	 Saint Kitts and Nevis 	       100,300,000 	 2001
186 	 Gibraltar 	       100,000,000 	 2001
187 	 Rwanda 	        96,780,000 	 2001
188 	 Chad 	        94,040,000 	 2001
189 	 Saint Vincent and the Grenadines 	        92,480,000 	 2001
190 	 Western Sahara 	        90,000,000 	 2001
191 	 Gambia, The 	        85,330,000 	 2001
192 	 Dominica 	        72,410,000 	 2001
193 	 Guinea-Bissau 	        55,000,000 	 2001
194 	 Johnston Atoll 	        44,200,000 	 1999
195 	 Vanuatu 	        43,460,000 	 2001
196 	 Cape Verde 	        42,030,000 	 2001
197 	 Saint Pierre and Miquelon 	        42,030,000 	 2001
198 	 British Virgin Islands 	        38,100,000 	 2001
199 	 Solomon Islands 	        32,000,000 	 2001
200 	 Nauru 	        30,000,000 	 2001
201 	 Cook Islands 	        27,430,000 	 2001
202 	 Tonga 	        27,270,000 	 2001
203 	 Namibia 	        26,950,000 	 2001
204 	 Equatorial Guinea 	        23,560,000 	 2001
205 	 Comoros 	        21,270,000 	 2001
206 	 Sao Tome and Principe 	        17,000,000 	 2001
207 	 Falkland Islands (Islas Malvinas) 	        16,330,000 	 2001
208 	 Kiribati 	         7,000,000 	 2001
209 	 Saint Helena 	         5,000,000 	 2001
210 	 Turks and Caicos Islands 	         5,000,000 	 2001
211 	 Niue 	         3,000,000 	 2001
212 	 Montserrat 	         2,500,000 	 2001
213 	 Lesotho 	               0 	 2001

 This file was last updated on 18 December, 2003
