This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - consumption(bbl/day) 	 Date of Information
78 	 Yemen 	           74,000 	 2001 est.
79 	 Lithuania 	           72,000 	 2001 est.
80 	 Netherlands Antilles 	           72,000 	 2001 est.
81 	 Bangladesh 	           71,000 	 2001 est.
82 	 Jamaica 	           66,000 	 2001 est.
83 	 Virgin Islands 	           66,000 	 2001 est.
84 	 Serbia and Montenegro 	           64,000 	 2001 est.
85 	 Turkmenistan 	           63,000 	 2001 est.
86 	 Guatemala 	           61,000 	 2001 est.
87 	 Kenya 	           57,000 	 2001 est.
88 	 Slovenia 	           53,300 	 2001 est.
89 	 Oman 	           53,000 	 2001 est.
90 	 Panama 	           52,000 	 2001 est.
91 	 Luxembourg 	           50,650 	 2001 est.
92 	 Sudan 	           50,000 	 2001 est.
93 	 Bolivia 	           49,000 	 2001 est.
94 	 Cyprus 	           49,000 	 2001 est.
95 	 Latvia 	           44,000 	 2001 est.
96 	 Gibraltar 	           42,000 	 2001 est.
97 	 Uruguay 	           41,500 	 2001 est.
98 	 El Salvador 	           39,000 	 2001 est.
99 	 Burma 	           38,000 	 2001 est.
100 	 Ghana 	           38,000 	 2001 est.
101 	 Costa Rica 	           37,000 	 2001 est.
102 	 Cote d'Ivoire 	           32,000 	 2001 est.
103 	 Georgia 	           31,500 	 2001 est.
104 	 Angola 	           31,000 	 2001 est.
105 	 Senegal 	           31,000 	 2001 est.
106 	 Bahrain 	           31,000 	 2001 est.
107 	 Honduras 	           29,000 	 2001 est.
108 	 Qatar 	           29,000 	 2001 est.
109 	 Paraguay 	           25,000 	 2001 est.
110 	 Nicaragua 	           24,500 	 2001 est.
111 	 Estonia 	           24,000 	 2001 est.
112 	 Mauritania 	           24,000 	 2001 est.
113 	 Moldova 	           24,000 	 2001 est.
114 	 Trinidad and Tobago 	           24,000 	 2001 est.
115 	 Bahamas, The 	           23,000 	 2001 est.
116 	 Ethiopia 	           23,000 	 2001 est.
117 	 Zimbabwe 	           23,000 	 2001 est.
118 	 Albania 	           22,400 	 2001 est.
119 	 Cameroon 	           22,000 	 2001 est.
120 	 Mauritius 	           21,000 	 2001 est.
121 	 Bosnia and Herzegovina 	           20,000 	 2001 est.
122 	 Kyrgyzstan 	           20,000 	 2001 est.
123 	 Malta 	           20,000 	 2001 est.
124 	 Tajikistan 	           20,000 	 2001 est.
125 	 Macedonia, The Former Yugoslav Republic of 	           20,000 	 2001 est.
126 	 Guam 	           20,000 	 2001 est.
127 	 Reunion 	           18,000 	 2001 est.
128 	 Tanzania 	           17,000 	 2001 est.
129 	 Iceland 	           16,300 	 2001 est.
130 	 Botswana 	           16,000 	 2001 est.
131 	 Nepal 	           16,000 	 2001 est.
132 	 Papua New Guinea 	           15,000 	 2001 est.
133 	 Congo, Democratic Republic of the 	           14,000 	 2001 est.
134 	 Martinique 	           13,500 	 2001 est.
135 	 Brunei 	           13,000 	 2001 est.
136 	 Namibia 	           13,000 	 2001 est.
137 	 Guadeloupe 	           13,000 	 2001 est.
138 	 Madagascar 	           13,000 	 2001 est.
139 	 Gabon 	           13,000 	 2001 est.
140 	 Benin 	           11,500 	 2001 est.
141 	 Djibouti 	           11,300 	 2001 est.
142 	 Guyana 	           11,000 	 2001 est.
143 	 Macau 	           11,000 	 2001 est.
144 	 Zambia 	           11,000 	 2001 est.
145 	 Haiti 	           11,000 	 2001 est.
146 	 Barbados 	           10,900 	 2001 est.
147 	 Suriname 	           10,000 	 2001 est.
148 	 Togo 	           10,000 	 2001 est.
149 	 Mongolia 	            8,750 	 2001 est.
150 	 Uganda 	            8,750 	 2001 est.
151 	 New Caledonia 	            8,750 	 2001 est.
152 	 Guinea 	            8,600 	 2001 est.
153 	 Mozambique 	            8,500 	 2001 est.
154 	 Burkina Faso 	            8,000 	 2001 est.
155 	 Aruba 	            6,500 	 2001 est.
156 	 French Guiana 	            6,500 	 2001 est.
157 	 Sierra Leone 	            6,500 	 2001 est.
158 	 Eritrea 	            6,000 	 2001 est.
159 	 Armenia 	            5,700 	 2001 est.
160 	 Fiji 	            5,700 	 2001 est.
161 	 Malawi 	            5,400 	 2001 est.
162 	 Rwanda 	            5,300 	 2001 est.
163 	 Belize 	            5,000 	 2001 est.
164 	 Congo, Republic of the 	            5,000 	 2001 est.
165 	 Niger 	            5,000 	 2001 est.
166 	 French Polynesia 	            4,750 	 2001 est.
167 	 Faroe Islands 	            4,500 	 2001 est.
168 	 Bermuda 	            4,000 	 2001 est.
169 	 Somalia 	            4,000 	 2001 est.
170 	 Mali 	            4,000 	 2001 est.
171 	 Seychelles 	            4,000 	 2001 est.
172 	 American Samoa 	            3,800 	 2001 est.
173 	 Greenland 	            3,700 	 2001 est.
174 	 Antigua and Barbuda 	            3,600 	 2001 est.
175 	 Cambodia 	            3,600 	 2001 est.
176 	 Afghanistan 	            3,500 	 2001 est.
177 	 Swaziland 	            3,500 	 2001 est.
178 	 Maldives 	            3,200 	 2001 est.
179 	 Liberia 	            3,100 	 2001 est.
180 	 Burundi 	            2,750 	 2001 est.
181 	 Laos 	            2,750 	 2001 est.
182 	 Guinea-Bissau 	            2,500 	 2001 est.
183 	 Cayman Islands 	            2,400 	 2001 est.
184 	 Saint Lucia 	            2,400 	 2001 est.
185 	 Central African Republic 	            2,400 	 2001 est.
186 	 Cape Verde 	            2,000 	 2001 est.
187 	 Equatorial Guinea 	            2,000 	 2001 est.
188 	 Gambia, The 	            1,900 	 2001 est.
189 	 Western Sahara 	            1,800 	 2001 est.
190 	 Chad 	            1,500 	 2001 est.
191 	 Lesotho 	            1,500 	 2001
192 	 Solomon Islands 	            1,250 	 2001 est.
193 	 Saint Vincent and the Grenadines 	            1,250 	 2001 est.
194 	 Bhutan 	            1,020 	 2001 est.
195 	 Grenada 	            1,000 	 2001 est.
196 	 Nauru 	            1,000 	 2001 est.
197 	 Samoa 	            1,000 	 2001 est.
198 	 Tonga 	            1,000 	 2001 est.
199 	 Saint Kitts and Nevis 	             710 	 2001 est.
200 	 Comoros 	             700 	 2001 est.
201 	 Sao Tome and Principe 	             700 	 2001 est.
202 	 Dominica 	             600 	 2001 est.
203 	 Vanuatu 	             600 	 2001 est.
204 	 Saint Pierre and Miquelon 	             600 	 2001 est.
205 	 Cook Islands 	             450 	 2001 est.
206 	 British Virgin Islands 	             420 	 2001 est.
207 	 Montserrat 	             400 	 2001 est.
208 	 Falkland Islands (Islas Malvinas) 	             200 	 2001 est.
209 	 Saint Helena 	             200 	 2001 est.
210 	 Kiribati 	             190 	 2001 est.
211 	 Niue 	              20 	 2001 est.
212 	 Turks and Caicos Islands 	               0 	 2001 est.

 This file was last updated on 18 December, 2003
