This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP - per capita 	 Date of Information
179 	 Angola 	 $             1,700 	 2002 est.
180 	 Mauritania 	 $             1,700 	 2002 est.
181 	 Cameroon 	 $             1,700 	 2002 est.
182 	 Solomon Islands 	 $             1,700 	 2001 est.
183 	 Burma 	 $             1,700 	 2002 est.
184 	 Cambodia 	 $             1,600 	 2002 est.
185 	 Marshall Islands 	 $             1,600 	 2001 est.
186 	 Senegal 	 $             1,500 	 2002 est.
187 	 Cape Verde 	 $             1,400 	 2002 est.
188 	 Cote d'Ivoire 	 $             1,400 	 2002 est.
189 	 Sudan 	 $             1,400 	 2002 est.
190 	 Togo 	 $             1,400 	 2002 est.
191 	 Nepal 	 $             1,400 	 2002 est.
192 	 Haiti 	 $             1,400 	 2002 est.
193 	 Bhutan 	 $             1,300 	 2002 est.
194 	 Tajikistan 	 $             1,300 	 2002 est.
195 	 Djibouti 	 $             1,300 	 2002 est.
196 	 Central African Republic 	 $             1,200 	 2002 est.
197 	 Sao Tome and Principe 	 $             1,200 	 2002 est.
198 	 Uganda 	 $             1,200 	 2002 est.
199 	 Rwanda 	 $             1,200 	 2002 est.
200 	 Benin 	 $             1,100 	 2002 est.
201 	 Kenya 	 $             1,100 	 2002 est.
202 	 Mozambique 	 $             1,100 	 2002 est.
203 	 Burkina Faso 	 $             1,100 	 2002 est.
204 	 Tuvalu 	 $             1,100 	 2000 est.
205 	 Chad 	 $             1,000 	 2002 est.
206 	 Korea, North 	 $             1,000 	 2002 est.
207 	 Tokelau 	 $             1,000 	 1993 est.
208 	 Liberia 	 $             1,000 	 2002 est.
209 	 Congo, Republic of the 	 $              900 	 2002 est.
210 	 Mali 	 $              900 	 2002 est.
211 	 Nigeria 	 $              900 	 2002 est.
212 	 Kiribati 	 $              800 	 2001 est.
213 	 Zambia 	 $              800 	 2002 est.
214 	 Yemen 	 $              800 	 2002 est.
215 	 West Bank 	 $              800 	 2002 est.
216 	 Niger 	 $              800 	 2002 est.
217 	 Madagascar 	 $              800 	 2002 est.
218 	 Afghanistan 	 $              700 	 2002 est.
219 	 Comoros 	 $              700 	 2002 est.
220 	 Eritrea 	 $              700 	 2002 est.
221 	 Ethiopia 	 $              700 	 2002 est.
222 	 Guinea-Bissau 	 $              700 	 2002 est.
223 	 Congo, Democratic Republic of the 	 $              600 	 2002 est.
224 	 Tanzania 	 $              600 	 2002 est.
225 	 Gaza Strip 	 $              600 	 2002 est.
226 	 Mayotte 	 $              600 	 1998 est.
227 	 Malawi 	 $              600 	 2002 est.
228 	 Somalia 	 $              600 	 2002 est.
229 	 Burundi 	 $              500 	 2002 est.
230 	 East Timor 	 $              500 	 2001 est.
231 	 Sierra Leone 	 $              500 	 2002 est.

 This file was last updated on 18 December, 2003
