This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Telephones - main lines in use 	 Date of Information
95 	 Tajikistan 	          363,000 	 1997
96 	 Turkmenistan 	          363,000 	 1997
97 	 Jamaica 	          353,000 	 1996
98 	 Kyrgyzstan 	          351,000 	 1997
99 	 Bolivia 	          327,600 	 1996
100 	 Luxembourg 	          314,700 	 1999
101 	 Kenya 	          310,000 	 2001
102 	 Bosnia and Herzegovina 	          303,000 	 1997
103 	 Yemen 	          291,359 	 1999
104 	 Paraguay 	          290,475 	 2001
105 	 Mauritius 	          280,900 	 2000
106 	 Reunion 	          268,500 	 1999
107 	 Cote d'Ivoire 	          263,700 	 2000
108 	 Trinidad and Tobago 	          252,000 	 1999
109 	 Burma 	          250,000 	 2000
110 	 Ghana 	          240,000 	 2001
111 	 Nepal 	          236,816 	 January 2000
112 	 Senegal 	          234,916 	 2001
113 	 Honduras 	          234,000 	 1997
114 	 Ethiopia 	          231,900 	 2000
115 	 Zimbabwe 	          212,000 	 1997
116 	 Oman 	          201,000 	 1997
117 	 Iceland 	          196,984 	 2001
118 	 Malta 	          187,000 	 1997
119 	 Macau 	          176,902 	 November 2001
120 	 Guadeloupe 	          171,000 	 1996
121 	 Martinique 	          170,000 	 1997
122 	 Bahrain 	          152,000 	 1997
123 	 Qatar 	          142,000 	 1997
124 	 Nicaragua 	          140,000 	 1996
125 	 Botswana 	          131,000 	 September 2001
126 	 Zambia 	          130,000 	 2002
127 	 Tanzania 	          127,000 	 1998
128 	 Albania 	          120,000 	 2001
129 	 Namibia 	          110,200 	 2000
130 	 Barbados 	          108,000 	 1997
131 	 Mongolia 	          104,100 	 1999
132 	 Bahamas, The 	           96,000 	 1997
133 	 Gaza Strip 	           95,729 	 1997
134 	 West Bank 	           95,729 	 1997
135 	 Cameroon 	           95,000 	 2001
136 	 Mozambique 	           90,000 	 2001
137 	 Guam 	           84,134 	 1998
138 	 Cyprus 	           83,162 	 
139 	 Fiji 	           80,901 	 1999
140 	 Brunei 	           79,000 	 1996
141 	 Netherlands Antilles 	           76,000 	 1995
142 	 Angola 	           72,000 	 1998
143 	 Guyana 	           70,000 	 2000
144 	 Jersey 	           65,500 	 1997
145 	 Virgin Islands 	           65,000 	 1997
146 	 Suriname 	           64,000 	 1997
147 	 Papua New Guinea 	           61,152 	 1999
148 	 Cape Verde 	           60,935 	 2002
149 	 Haiti 	           60,000 	 1997
150 	 Madagascar 	           55,000 	 2000
151 	 Burkina Faso 	           53,200 	 2000
152 	 Bermuda 	           52,000 	 1997
153 	 French Polynesia 	           52,000 	 1997
154 	 Benin 	           51,000 	 2000
155 	 Man, Isle of 	           51,000 	 1999
156 	 French Guiana 	           47,000 	 1997
157 	 New Caledonia 	           47,000 	 1997
158 	 Malawi 	           45,000 	 2000
159 	 Mali 	           45,000 	 2000
160 	 Guernsey 	           44,000 	 1996
161 	 Gabon 	           39,000 	 1998
162 	 Swaziland 	           38,500 	 2001
163 	 Guinea 	           37,000 	 1998
164 	 Saint Lucia 	           37,000 	 1997
165 	 Aruba 	           33,000 	 1997
166 	 Andorra 	           32,946 	 December 1998
167 	 Gambia, The 	           31,900 	 2000
168 	 Monaco 	           31,027 	 1995
169 	 Belize 	           31,000 	 1997
170 	 Eritrea 	           30,000 	 2001
171 	 Afghanistan 	           29,000 	 
172 	 Antigua and Barbuda 	           28,000 	 1996
173 	 Grenada 	           27,000 	 1997
174 	 Mauritania 	           26,500 	 2001
175 	 Greenland 	           25,617 	 yearend 1999
176 	 Laos 	           25,000 	 1997
177 	 Sierra Leone 	           25,000 	 2001
178 	 Togo 	           25,000 	 1997
179 	 Faroe Islands 	           24,851 	 1999
180 	 Lesotho 	           22,200 	 2000
181 	 Congo, Republic of the 	           22,000 	 1998
182 	 Cambodia 	           21,800 	 mid-1998
183 	 Northern Mariana Islands 	           21,000 	 1996
184 	 Maldives 	           21,000 	 1999
185 	 Saint Vincent and the Grenadines 	           20,500 	 1998
186 	 Liechtenstein 	           20,072 	 2000
187 	 Congo, Democratic Republic of the 	           20,000 	 2000
188 	 Niger 	           20,000 	 2001
189 	 Seychelles 	           19,635 	 1997
190 	 Cayman Islands 	           19,000 	 1995
191 	 Dominica 	           19,000 	 1996
192 	 Gibraltar 	           19,000 	 1997
193 	 Burundi 	           18,000 	 2002
194 	 San Marino 	           18,000 	 1998
195 	 Saint Kitts and Nevis 	           17,000 	 1997
196 	 Somalia 	           15,000 	 2000
197 	 American Samoa 	           13,000 	 1997
198 	 Mayotte 	           12,000 	 1998
199 	 Micronesia, Federated States of 	           11,000 	 2001
200 	 Djibouti 	           10,000 	 2002
201 	 British Virgin Islands 	           10,000 	 1996
202 	 Guinea-Bissau 	           10,000 	 2001
203 	 Chad 	            9,700 	 1999
204 	 Central African Republic 	            9,500 	 2000
205 	 Samoa 	            8,183 	 1998
206 	 Solomon Islands 	            8,000 	 1997
207 	 Tonga 	            8,000 	 1996
208 	 Comoros 	            7,000 	 2000
209 	 Liberia 	            6,700 	 2000
210 	 Palau 	            6,700 	 2002
211 	 Bhutan 	            6,000 	 1997
212 	 Equatorial Guinea 	            6,000 	 1998
213 	 Vanuatu 	            5,500 	 1998
214 	 Cook Islands 	            5,000 	 1997
215 	 Anguilla 	            4,974 	 2000
216 	 Sao Tome and Principe 	            4,600 	 2000
217 	 Marshall Islands 	            4,186 	 2001
218 	 Montserrat 	            4,000 	 1997
219 	 Saint Pierre and Miquelon 	            4,000 	 1997
220 	 Kiribati 	            3,800 	 1999
221 	 Turks and Caicos Islands 	            3,000 	 1994
222 	 Nauru 	            2,000 	 1996
223 	 Saint Helena 	            2,000 	 1997
224 	 Wallis and Futuna 	            1,125 	 1994
225 	 Norfolk Island 	            1,087 	 1983
226 	 Tuvalu 	            1,000 	 1997
227 	 Niue 	             376 	 1991
228 	 Cocos (Keeling) Islands 	             287 	 1992
229 	 Pitcairn Islands 	               1 	 1997
230 	 Antarctica 	               0 	 2001

 This file was last updated on 18 December, 2003
