This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP - real growth rate(%) 	 Date of Information
123 	 Zambia 	            2.30 	 2002 est.
124 	 Namibia 	            2.30 	 2002 est.
125 	 Maldives 	            2.30 	 2002 est.
126 	 Guatemala 	            2.20 	 2002 est.
127 	 Oman 	            2.20 	 2002 est.
128 	 Singapore 	            2.20 	 2002 est.
129 	 Chile 	            2.10 	 2002 est.
130 	 El Salvador 	            2.10 	 2002 est.
131 	 Comoros 	            2.00 	 2002 est.
132 	 Virgin Islands 	            2.00 	 2001 est.
133 	 Spain 	            2.00 	 2002 est.
134 	 Liberia 	            2.00 	 2002 est.
135 	 Lebanon 	            2.00 	 2002 est.
136 	 Czech Republic 	            2.00 	 2002 est.
137 	 Eritrea 	            2.00 	 2002 est.
138 	 Sweden 	            1.90 	 2002 est.
139 	 Greenland 	            1.80 	 2001 est.
140 	 United Kingdom 	            1.80 	 2002 est.
141 	 United Arab Emirates 	            1.80 	 2002 est.
142 	 Cayman Islands 	            1.70 	 2002 est.
143 	 Cyprus 	            1.70 	 2002 est.
144 	 Malawi 	            1.70 	 2002 est.
145 	 Denmark 	            1.60 	 2002 est.
146 	 Swaziland 	            1.60 	 2002 est.
147 	 Finland 	            1.60 	 2002 est.
148 	 Brazil 	            1.50 	 2002 est.
149 	 Seychelles 	            1.50 	 2002 est.
150 	 Kiribati 	            1.50 	 2001 est.
151 	 Central African Republic 	            1.50 	 2002 est.
152 	 Colombia 	            1.50 	 2002 est.
153 	 Poland 	            1.40 	 2002 est.
154 	 Dominica 	            1.20 	 2002 est.
155 	 Suriname 	            1.20 	 2002 est.
156 	 France 	            1.20 	 2002 est.
157 	 Malta 	            1.20 	 2002 est.
158 	 Libya 	            1.20 	 2002 est.
159 	 Austria 	            1.10 	 2002 est.
160 	 Nicaragua 	            1.10 	 2002 est.
161 	 Kenya 	            1.10 	 2002 est.
162 	 Cuba 	            1.10 	 2002 est.
163 	 Guyana 	            1.10 	 2002 est.
164 	 Micronesia, Federated States of 	            1.00 	 2002 est.
165 	 Saudi Arabia 	            1.00 	 2002 est.
166 	 British Virgin Islands 	            1.00 	 2002 est.
167 	 Marshall Islands 	            1.00 	 2001 est.
168 	 Jamaica 	            1.00 	 2002 est.
169 	 Norway 	            1.00 	 2002 est.
170 	 Palau 	            1.00 	 2001 est.
171 	 Korea, North 	            1.00 	 2002 est.
172 	 Belgium 	            0.70 	 2002 est.
173 	 Panama 	            0.70 	 2002 est.
174 	 Mexico 	            0.70 	 2002 est.
175 	 Macedonia, The Former Yugoslav Republic of 	            0.70 	 2002 est.
176 	 Bermuda 	            0.50 	 2002 est.
177 	 Italy 	            0.40 	 2002 est.
178 	 Luxembourg 	            0.40 	 2002 est.
179 	 Portugal 	            0.40 	 2002 est.
180 	 Gabon 	            0.20 	 2002 est.
181 	 Germany 	            0.20 	 2002 est.
182 	 Netherlands 	            0.20 	 2002 est.
183 	 Japan 	            0.20 	 2002 est.
184 	 Bahamas, The 	            0.10 	 2002 est.
185 	 Switzerland 	            0.10 	 2002 est.
186 	 Congo, Republic of the 	            0.00 	 2002 est.
187 	 Netherlands Antilles 	            0.00 	 2002 est.
188 	 Puerto Rico 	           -0.20 	 2002 est.
189 	 Niue 	           -0.30 	 2000 est.
190 	 Vanuatu 	           -0.30 	 2002 est.
191 	 Saint Vincent and the Grenadines 	           -0.50 	 2002 est.
192 	 Iceland 	           -0.60 	 2002 est.
193 	 Nepal 	           -0.60 	 2002 est.
194 	 Israel 	           -0.80 	 2002 est.
195 	 Haiti 	           -0.90 	 2002 est.
196 	 Montserrat 	           -1.00 	 2002 est.
197 	 Aruba 	           -1.50 	 2002 est.
198 	 Cote d'Ivoire 	           -1.60 	 2002 est.
199 	 Saint Kitts and Nevis 	           -1.90 	 2002 est.
200 	 Kuwait 	           -2.00 	 2002 est.
201 	 Paraguay 	           -2.70 	 2002 est.
202 	 Barbados 	           -2.80 	 2002 est.
203 	 Iraq 	           -3.00 	 2002 est.
204 	 Papua New Guinea 	           -3.10 	 2002 est.
205 	 Guinea-Bissau 	           -4.30 	 2002 est.
206 	 Venezuela 	           -8.90 	 2002 est.
207 	 Solomon Islands 	          -10.00 	 2001 est.
208 	 Uruguay 	          -10.80 	 2002 est.
209 	 Argentina 	          -10.90 	 2002 est.
210 	 Madagascar 	          -11.90 	 2002 est.
211 	 Zimbabwe 	          -13.00 	 2002 est.
212 	 Gaza Strip 	          -15.00 	 2002 est.
213 	 West Bank 	          -22.00 	 2002 est.

 This file was last updated on 18 December, 2003
