This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Debt - external 	 Date of Information
136 	 Tajikistan 	 $       1,000,000,000 	 2002 est.
137 	 Mozambique 	 $        966,000,000 	 2002 est.
138 	 Guinea-Bissau 	 $        941,500,000 	 2000 est.
139 	 Mongolia 	 $        913,000,000 	 2001 est.
140 	 Armenia 	 $        905,000,000 	 June 2001
141 	 Central African Republic 	 $        881,400,000 	 2000 est.
142 	 Belarus 	 $        851,000,000 	 2001 est.
143 	 Cambodia 	 $        829,000,000 	 1999 est.
144 	 Albania 	 $        784,000,000 	 2000
145 	 Lesotho 	 $        735,000,000 	 2002
146 	 Barbados 	 $        692,000,000 	 2002
147 	 Namibia 	 $        517,000,000 	 2002 est.
148 	 Gambia, The 	 $        476,000,000 	 2001 est.
149 	 Belize 	 $        475,000,000 	 2001 est.
150 	 Bahamas, The 	 $        371,600,000 	 2001
151 	 Djibouti 	 $        366,000,000 	 2002 est.
152 	 Botswana 	 $        360,000,000 	 2002
153 	 Cape Verde 	 $        325,000,000 	 2002
154 	 Suriname 	 $        321,000,000 	 2002 est.
155 	 Swaziland 	 $        320,000,000 	 2002 est.
156 	 Eritrea 	 $        311,000,000 	 2000 est.
157 	 Aruba 	 $        285,000,000 	 1996
158 	 Maldives 	 $        281,000,000 	 2003 est.
159 	 Macau 	 $        255,000,000 	 2000 est.
160 	 Sao Tome and Principe 	 $        253,800,000 	 2000
161 	 Equatorial Guinea 	 $        248,000,000 	 2000 est.
162 	 Bhutan 	 $        245,000,000 	 2000
163 	 Comoros 	 $        232,000,000 	 2000 est.
164 	 Antigua and Barbuda 	 $        231,000,000 	 1999
165 	 Saint Lucia 	 $        214,000,000 	 2000
166 	 Samoa 	 $        197,000,000 	 2000
167 	 Grenada 	 $        196,000,000 	 2000
168 	 Martinique 	 $        180,000,000 	 1994
169 	 Saint Kitts and Nevis 	 $        171,000,000 	 2001
170 	 Seychelles 	 $        170,000,000 	 2002 est.
171 	 Saint Vincent and the Grenadines 	 $        167,200,000 	 2000
172 	 Dominica 	 $        161,500,000 	 2001
173 	 Bermuda 	 $        145,000,000 	 FY 99/00
174 	 Cook Islands 	 $        141,000,000 	 1996 est.
175 	 Solomon Islands 	 $        137,000,000 	 2001 est.
176 	 Fiji 	 $        135,900,000 	 2000
177 	 Malta 	 $        130,000,000 	 1997
178 	 Gaza Strip 	 $        108,000,000 	 1997 est.
179 	 West Bank 	 $        108,000,000 	 1997 est.
180 	 Marshall Islands 	 $         86,500,000 	 FY 99/00 est.
181 	 New Caledonia 	 $         79,000,000 	 1998 est.
182 	 Cayman Islands 	 $         70,000,000 	 1996
183 	 Vanuatu 	 $         68,600,000 	 2000 est.
184 	 Faroe Islands 	 $         64,000,000 	 1999
185 	 Tonga 	 $         57,500,000 	 June 2001
186 	 Micronesia, Federated States of 	 $         53,100,000 	 FY 02/03 est.
187 	 British Virgin Islands 	 $         36,100,000 	 1997
188 	 Nauru 	 $         33,300,000 	 
189 	 Greenland 	 $         25,000,000 	 1999
190 	 Kiribati 	 $         10,000,000 	 1999 est.
191 	 Montserrat 	 $          8,900,000 	 1997
192 	 Anguilla 	 $          8,800,000 	 1998
193 	 Niue 	 $           418,000 	 2002 est.
194 	 Brunei 	 $                0 	 
195 	 Norway 	 $                0 	 
196 	 Tokelau 	 $                0 	 
197 	 Palau 	 $                0 	 FY 99/00
198 	 Liechtenstein 	 $                0 	 2001

 This file was last updated on 18 December, 2003
