This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Labor force 	 Date of Information
137 	 Guyana 	          418,000 	 2001 est.
138 	 Gambia, The 	          400,000 	 
139 	 Swaziland 	          383,200 	 2000
140 	 Reunion 	          309,900 	 2000
141 	 Bahrain 	          295,000 	 1998 est.
142 	 Djibouti 	          282,000 	 
143 	 Qatar 	          280,122 	 1997 est.
144 	 Botswana 	          264,000 	 2000
145 	 Luxembourg 	          262,300 	 2000
146 	 Macau 	          214,000 	 2002
147 	 Martinique 	          165,900 	 1998
148 	 Malta 	          160,000 	 2002 est.
149 	 Iceland 	          159,000 	 2000
150 	 Bahamas, The 	          156,000 	 1999
151 	 Comoros 	          144,500 	 1996 est.
152 	 Brunei 	          143,400 	 1999 est.
153 	 Fiji 	          137,000 	 1999
154 	 Barbados 	          128,500 	 2001 est.
155 	 Guadeloupe 	          125,900 	 1997
156 	 Suriname 	          100,000 	 
157 	 Belize 	           90,000 	 
158 	 Samoa 	           90,000 	 2000 est.
159 	 Netherlands Antilles 	           89,000 	 
160 	 Maldives 	           88,000 	 2000
161 	 New Caledonia 	           79,395 	 
162 	 French Polynesia 	           70,000 	 1996
163 	 Niger 	           70,000 	 
164 	 Saint Vincent and the Grenadines 	           67,000 	 1984 est.
165 	 Guam 	           60,000 	 2000 est.
166 	 French Guiana 	           58,800 	 1997
167 	 Jersey 	           57,050 	 1996
168 	 Virgin Islands 	           49,000 	 2002 est.
169 	 Mayotte 	           48,800 	 2000
170 	 Saint Lucia 	           43,800 	 
171 	 Grenada 	           42,300 	 1996
172 	 Aruba 	           41,501 	 1997 est.
173 	 Bermuda 	           37,472 	 2000
174 	 Man, Isle of 	           36,610 	 1998
175 	 Tonga 	           33,908 	 1996
176 	 Andorra 	           33,000 	 2001 est.
177 	 Guernsey 	           31,322 	 2000
178 	 Seychelles 	           30,900 	 1996
179 	 Monaco 	           30,540 	 January 1994
180 	 Antigua and Barbuda 	           30,000 	 
181 	 Liechtenstein 	           29,000 	 37256
182 	 Marshall Islands 	           28,698 	 
183 	 Solomon Islands 	           26,842 	 
184 	 Dominica 	           25,000 	 
185 	 Greenland 	           24,500 	 1999 est.
186 	 Faroe Islands 	           24,250 	 October 2000
187 	 Cayman Islands 	           19,820 	 1995
188 	 San Marino 	           18,500 	 1999
189 	 Saint Kitts and Nevis 	           18,172 	 June 1995
190 	 Gibraltar 	           14,800 	 
191 	 American Samoa 	           14,000 	 1996
192 	 Western Sahara 	           12,000 	 
193 	 Palau 	            9,845 	 2000
194 	 Cook Islands 	            8,000 	 1996
195 	 Kiribati 	            7,870 	 
196 	 Tuvalu 	            7,000 	 2001 est.
197 	 Anguilla 	            6,049 	 2001
198 	 Northern Mariana Islands 	            6,006 	 
199 	 British Virgin Islands 	            4,911 	 1980
200 	 Turks and Caicos Islands 	            4,848 	 1990 est.
201 	 Montserrat 	            4,521 	 
202 	 Saint Helena 	            3,500 	 1998 est.
203 	 Saint Pierre and Miquelon 	            3,261 	 1999
204 	 Falkland Islands (Islas Malvinas) 	            1,100 	 
205 	 Pitcairn Islands 	              12 	 1997

 This file was last updated on 18 December, 2003
