This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Infant mortality rate(deaths/1,000 live births) 	 Date of Information
164 	 Puerto Rico 	      9.38 	 2003 est.
165 	 Guadeloupe 	      9.07 	 2003 est.
166 	 Bermuda 	      9.05 	 2003 est.
167 	 Virgin Islands 	      9.00 	 2003 est.
168 	 Poland 	      8.95 	 2003 est.
169 	 Chile 	      8.88 	 2003 est.
170 	 French Polynesia 	      8.78 	 2003 est.
171 	 Cayman Islands 	      8.64 	 2003 est.
172 	 Hungary 	      8.58 	 2003 est.
173 	 Slovakia 	      8.55 	 2003 est.
174 	 Reunion 	      8.13 	 2003 est.
175 	 New Caledonia 	      8.06 	 2003 est.
176 	 Saint Pierre and Miquelon 	      7.97 	 2003 est.
177 	 Montserrat 	      7.77 	 2003 est.
178 	 Cyprus 	      7.54 	 2003 est.
179 	 Martinique 	      7.44 	 2003 est.
180 	 Israel 	      7.37 	 2003 est.
181 	 Korea, South 	      7.31 	 2003 est.
182 	 Cuba 	      7.15 	 2003 est.
183 	 Croatia 	      6.92 	 2003 est.
184 	 United States 	      6.75 	 2003 est.
185 	 Taiwan 	      6.65 	 2003 est.
186 	 Faroe Islands 	      6.52 	 2003 est.
187 	 Guam 	      6.46 	 2003 est.
188 	 Italy 	      6.19 	 2003 est.
189 	 Man, Isle of 	      6.17 	 2003 est.
190 	 Aruba 	      6.14 	 2003 est.
191 	 Greece 	      6.12 	 2003 est.
192 	 New Zealand 	      6.07 	 2003 est.
193 	 San Marino 	      5.97 	 2003 est.
194 	 Portugal 	      5.73 	 2003 est.
195 	 Hong Kong 	      5.63 	 2003 est.
196 	 Monaco 	      5.63 	 2003 est.
197 	 Malta 	      5.62 	 2003 est.
198 	 Northern Mariana Islands 	      5.52 	 2003 est.
199 	 Jersey 	      5.43 	 2003 est.
200 	 Czech Republic 	      5.37 	 2003 est.
201 	 Ireland 	      5.34 	 2003 est.
202 	 Gibraltar 	      5.31 	 2003 est.
203 	 United Kingdom 	      5.28 	 2003 est.
204 	 Denmark 	      4.90 	 2003 est.
205 	 Canada 	      4.88 	 2003 est.
206 	 Guernsey 	      4.85 	 2003 est.
207 	 Liechtenstein 	      4.85 	 2003 est.
208 	 Australia 	      4.83 	 2003 est.
209 	 Luxembourg 	      4.65 	 2003 est.
210 	 Belgium 	      4.57 	 2003 est.
211 	 Spain 	      4.54 	 2003 est.
212 	 Macau 	      4.42 	 2003 est.
213 	 Slovenia 	      4.42 	 2003 est.
214 	 France 	      4.37 	 2003 est.
215 	 Switzerland 	      4.36 	 2003 est.
216 	 Austria 	      4.33 	 2003 est.
217 	 Netherlands 	      4.26 	 2003 est.
218 	 Germany 	      4.23 	 2003 est.
219 	 Andorra 	      4.06 	 2003 est.
220 	 Norway 	      3.87 	 2003 est.
221 	 Finland 	      3.73 	 2003 est.
222 	 Singapore 	      3.57 	 2003 est.
223 	 Iceland 	      3.50 	 2003 est.
224 	 Sweden 	      3.42 	 2003 est.
225 	 Japan 	      3.30 	 2003 est.

 This file was last updated on 18 December, 2003
