This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Imports 	 Date of Information
150 	 Tajikistan 	 $        830,000,000 	 2002 est.
151 	 Georgia 	 $        750,000,000 	 2002 est.
152 	 Lesotho 	 $        738,000,000 	 2002 est.
153 	 Congo, Republic of the 	 $        730,000,000 	 2002 est.
154 	 Bermuda 	 $        719,000,000 	 2000
155 	 Guinea 	 $        670,000,000 	 2002 est.
156 	 Mongolia 	 $        659,000,000 	 2002 est.
157 	 Fiji 	 $        642,000,000 	 2001
158 	 Mali 	 $        630,000,000 	 2002 est.
159 	 French Guiana 	 $        625,000,000 	 
160 	 Kyrgyzstan 	 $        587,000,000 	 2002 est.
161 	 Guyana 	 $        575,000,000 	 2002
162 	 Chad 	 $        570,000,000 	 2002 est.
163 	 Equatorial Guinea 	 $        562,000,000 	 2002 est.
164 	 Togo 	 $        561,000,000 	 2002
165 	 Laos 	 $        555,000,000 	 2002 est.
166 	 Burkina Faso 	 $        525,000,000 	 2002 est.
167 	 Malawi 	 $        505,000,000 	 2001
168 	 Eritrea 	 $        500,000,000 	 2001
169 	 Gibraltar 	 $        492,000,000 	 1997
170 	 Benin 	 $        479,000,000 	 2002
171 	 Faroe Islands 	 $        469,000,000 	 1999
172 	 Cayman Islands 	 $        457,400,000 	 1999
173 	 American Samoa 	 $        452,000,000 	 1999
174 	 Belize 	 $        430,000,000 	 2002 est.
175 	 Greenland 	 $        403,000,000 	 2001
176 	 Maldives 	 $        395,000,000 	 2001 est.
177 	 Seychelles 	 $        380,000,000 	 2002
178 	 Niger 	 $        368,000,000 	 2002 est.
179 	 Mauritania 	 $        360,000,000 	 2000
180 	 Antigua and Barbuda 	 $        357,000,000 	 2000 est.
181 	 Somalia 	 $        343,000,000 	 2001 est.
182 	 Saint Lucia 	 $        319,400,000 	 2000 est.
183 	 Cyprus 	 $        301,000,000 	 2002 est.
184 	 Suriname 	 $        300,000,000 	 2002
185 	 Grenada 	 $        270,000,000 	 2000 est.
186 	 Djibouti 	 $        255,000,000 	 2002 est.
187 	 Rwanda 	 $        253,000,000 	 2002 est.
188 	 East Timor 	 $        237,000,000 	 2001 est.
189 	 Gambia, The 	 $        225,000,000 	 2002 est.
190 	 Cape Verde 	 $        220,000,000 	 2002 est.
191 	 Guam 	 $        203,000,000 	 1999 est.
192 	 Bhutan 	 $        196,000,000 	 2000 est.
193 	 Sierra Leone 	 $        190,000,000 	 2002 est.
194 	 British Virgin Islands 	 $        187,000,000 	 2002 est.
195 	 Saint Vincent and the Grenadines 	 $        185,600,000 	 2000 est.
196 	 Turks and Caicos Islands 	 $        175,600,000 	 2000
197 	 Liberia 	 $        165,000,000 	 2002 est.
198 	 Saint Kitts and Nevis 	 $        152,000,000 	 2001 est.
199 	 Micronesia, Federated States of 	 $        149,000,000 	 FY 99/00 est.
200 	 Mayotte 	 $        141,300,000 	 1997
201 	 Burundi 	 $        135,000,000 	 2002 est.
202 	 Dominica 	 $        135,000,000 	 2002 est.
203 	 Samoa 	 $        130,100,000 	 2001
204 	 Central African Republic 	 $        102,000,000 	 2002 est.
205 	 Palau 	 $         99,000,000 	 2001 est.
206 	 Vanuatu 	 $         93,000,000 	 2001
207 	 Solomon Islands 	 $         82,000,000 	 2001 est.
208 	 Anguilla 	 $         80,900,000 	 1999
209 	 Tonga 	 $         70,000,000 	 2001 est.
210 	 Guinea-Bissau 	 $         59,000,000 	 2002 est.
211 	 Saint Pierre and Miquelon 	 $         55,000,000 	 1999
212 	 Marshall Islands 	 $         54,000,000 	 2000
213 	 Cook Islands 	 $         50,700,000 	 2000
214 	 Kiribati 	 $         44,000,000 	 1999
215 	 Comoros 	 $         39,800,000 	 2001 est.
216 	 Nauru 	 $         33,000,000 	 1995
217 	 Sao Tome and Principe 	 $         24,800,000 	 2002 est.
218 	 Falkland Islands (Islas Malvinas) 	 $         24,700,000 	 1995
219 	 Norfolk Island 	 $         17,900,000 	 FY 91/92
220 	 Montserrat 	 $         17,000,000 	 2001
221 	 Saint Helena 	 $         14,434,000 	 1995
222 	 Tuvalu 	 $          7,200,000 	 1998
223 	 Niue 	 $          2,380,000 	 1999
224 	 Tokelau 	 $           323,000 	 1983
225 	 Wallis and Futuna 	 $           300,000 	 1999

 This file was last updated on 18 December, 2003
