"average_covered_charges","average_medicare_payments","average_medicare_payments_2","drg_definition","hospital_referral_region_description","provider_city","provider_id","provider_name","provider_state","provider_street_address","provider_zip_code","total_discharges"
"10710.88","4968","3898.88","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Mobile","FAIRHOPE","10100","THOMAS HOSPITAL","AL","750 MORPHY AVENUE","36532","18"
"51343.75","5996","4962.45","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Birmingham","BIRMINGHAM","10103","BAPTIST MEDICAL CENTER-PRINCETON","AL","701 PRINCETON AVENUE SOUTHWEST","35211","33"
"55219.31","5710.31","4471.68","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Birmingham","BIRMINGHAM","10104","TRINITY MEDICAL CENTER","AL","800 MONTCLAIR RD","35213","29"
"14948.15","5550.90","4219.90","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Mobile","MOBILE","10113","MOBILE INFIRMARY","AL","5 MOBILE INFIRMARY CIRCLE","36652","66"
"73846.21","4987.26","3944.42","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AL - Birmingham","BIRMINGHAM","10139","BROOKWOOD MEDICAL CENTER","AL","2010 BROOKWOOD MEDICAL CENTER DRIVE","35209","19"
"34805.13","8401.95","6413.78","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AK - Anchorage","ANCHORAGE","20017","ALASKA REGIONAL HOSPITAL","AK","2801 DEBARR ROAD","99508","23"
"34803.81","7768.90","6951.45","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Phoenix","PHOENIX","30002","BANNER GOOD SAMARITAN MEDICAL CENTER","AZ","1111 EAST MCDOWELL ROAD","85006","11"
"24474.75","6799.85","5764.87","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Tucson","TUCSON","30006","TUCSON MEDICAL CENTER","AZ","5301 EAST GRANT ROAD","85712","40"
"28571.61","9133","8008.11","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Phoenix","COTTONWOOD","30007","VERDE VALLEY MEDICAL CENTER","AZ","269 SOUTH CANDY LANE","86326","18"
"35968.5","6506.5","5379.83","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Tucson","TUCSON","30010","CARONDELET ST  MARYS HOSPITAL","AZ","1601 WEST ST MARY'S ROAD","85745","12"
"26294.52","6083.42","4903.33","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Tucson","TUCSON","30011","CARONDELET ST JOSEPHS HOSPITAL","AZ","350 NORTH WILMOT ROAD","85711","42"
"26771.78","7140.85","6133.57","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Phoenix","PRESCOTT","30012","YAVAPAI REGIONAL MEDICAL CENTER","AZ","1003 WILLOW CREEK ROAD","86301","28"
"29967.8","6978.75","5969.55","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Phoenix","YUMA","30013","YUMA REGIONAL MEDICAL CENTER","AZ","2400 SOUTH AVENUE A","85364","20"
"27349.4","11026.33","9056.06","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Phoenix","FLAGSTAFF","30023","FLAGSTAFF MEDICAL CENTER","AZ","1200 NORTH BEAVER STREET","86001","15"
"59443.83","8487.44","7422.66","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Phoenix","PHOENIX","30024","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","AZ","350 WEST THOMAS ROAD","85013","18"
"24714.66","7673.21","6541.92","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Phoenix","PHOENIX","30030","PHOENIX BAPTIST HOSPITAL","AZ","2000 WEST BETHANY HOME ROAD","85015","42"
"37706","6590.23","5473","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Phoenix","SCOTTSDALE","30038","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","AZ","7400 EAST OSBORN ROAD","85251","13"
"38149.85","6048.61","4951.90","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Sun City","SUN CITY","30061","BANNER BOSWELL MEDICAL CENTER","AZ","10401 WEST THUNDERBIRD BOULEVARD","85351","62"
"15931.52","10000.82","7321.64","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Phoenix","SHOW LOW","30062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","AZ","2200 SHOW LOW LAKE ROAD","85901","17"
"29718.48","7551.4","4846.36","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Mesa","MESA","30065","BANNER DESERT MEDICAL CENTER","AZ","1400 SOUTH  DOBSON ROAD","85202","25"
"25259.66","6605.19","5665.41","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Phoenix","LAKE HAVASU CIT","30069","HAVASU REGIONAL MEDICAL CENTER","AZ","101 CIVIC CENTER LANE","86403","36"
"39165.92","6051.18","5174.25","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Phoenix","SCOTTSDALE","30087","SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","AZ","9003 EAST SHEA BOULEVARD","85260","27"
"26776.33","6907.06","5854.8","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Phoenix","GLENDALE","30089","BANNER THUNDERBIRD MEDICAL CENTER","AZ","5555 WEST THUNDERBIRD ROAD","85306","15"
"24560","7079.36","5204.54","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Phoenix","PHOENIX","30092","JOHN C LINCOLN DEER VALLEY HOSPITAL","AZ","19829 NORTH 27TH AVENUE","85027","11"
"54050.58","6061.5","5312.16","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Sun City","SUN CITY WEST","30093","BANNER DEL E WEBB MEDICAL CENTER","AZ","14502 WEST MEEKER BOULEVARD","85375","12"
"32998","7046","6264.76","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Phoenix","GLENDALE","30094","ARROWHEAD HOSPITAL","AZ","18701 NORTH 67TH AVENUE","85308","13"
"25757.64","5976","3592.85","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Tucson","TUCSON","30100","CARONDELET HEART AND VASCULAR INSTITUTE","AZ","4888 NORTH STONE AVENUE","85704","14"
"60608.69","6941.03","5652.65","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","NV - Las Vegas","BULLHEAD CITY","30101","WESTERN ARIZONA REGIONAL MEDICAL CTR","AZ","2735 SILVER CREEK ROAD","86442","26"
"29774.12","7768.76","5674.2","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Phoenix","PHOENIX","30103","MAYO CLINIC HOSPITAL","AZ","5777 EAST MAYO BOULEVARD","85054","25"
"43823.20","6291.95","4788.12","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AZ - Mesa","MESA","30105","BANNER HEART HOSPITAL","AZ","6750 EAST BAYWOOD AVENUE","85206","64"
"30470.56","5811.56","4372.61","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AR - Springdale","FAYETTEVILLE","40004","WASHINGTON REGIONAL MED CTR AT NORTH HILLS","AR","3215 N NORTH HILLS BLVD","72703","39"
"27734.89","6051.92","4837.54","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AR - Little Rock","LITTLE ROCK","40007","ST VINCENT INFIRMARY MEDICAL CENTER","AR","TWO ST VINCENT CIRCLE","72205","55"
"17593.33","5509","4576.33","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AR - Springdale","ROGERS","40010","MERCY MEDICAL CENTER","AR","2710 RIFE MEDICAL LANE","72758","12"
"11057.06","6208.77","5247.85","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AR - Jonesboro","JONESBORO","40020","ST BERNARDS MEDICAL CTR","AR","225 E JACKSON","72401","48"
"37470.73","6153.21","4234.68","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AR - Springdale","SPRINGDALE","40022","NW ARKANSAS HOSPITALS, LLC","AR","609 WEST MAPLE AVENUE","72764","19"
"19270.63","5806.41","4759.70","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AR - Little Rock","HOT SPRINGS","40026","ST JOSEPHS MERCY HEALTH CENTER INC","AR","300 WERNER STREET","71903","41"
"16582.34","5496.31","4424.64","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","MO - Springfield","MOUNTAIN HOME","40027","BAXTER REGIONAL MEDICAL CENTER","AR","624 HOSPITAL DRIVE","72653","76"
"11406.17","5623.52","4569.41","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AR - Little Rock","CONWAY","40029","CONWAY REGIONAL MEDICAL CENTER","AR","2302 COLLEGE AVENUE","72034","17"
"23182.42","5575","4622.34","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AR - Little Rock","NORTH LITTLE RO","40036","BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","AR","3333 SPRINGHILL DRIVE","72117","35"
"14799.30","5489.53","4263.19","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AR - Fort Smith","FORT SMITH","40062","ST EDWARD MERCY MEDICAL CENTER","AR","7301 ROGERS AVE","72917","26"
"29474.08","6529","5682.66","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AR - Little Rock","PINE BLUFF","40071","JEFFERSON REGIONAL MEDICAL CENTER","AR","1600 WEST 40TH AVENUE","71603","12"
"98388.77","9838.11","8533.83","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AR - Little Rock","HOT SPRINGS","40078","NATIONAL PARK MEDICAL CENTER","AR","1910 MALVERN AVENUE","71901","18"
"25076.64","5968.44","4592.46","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AR - Little Rock","LITTLE ROCK","40114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","AR","9601 INTERSTATE 630, EXIT 7","72205","139"
"29442.36","6451.86","5067.77","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AR - Jonesboro","JONESBORO","40118","NEA BAPTIST MEMORIAL HOSPITAL","AR","3024 STADIUM BOULEVARD","72401","22"
"22973","6163.03","5166.29","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AR - Little Rock","BATESVILLE","40119","WHITE RIVER MEDICAL CENTER","AR","1710 HARRISON STREET","72503","27"
"24489.93","5225.59","4068.10","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","AR - Little Rock","LITTLE ROCK","40134","ARKANSAS HEART HOSPITAL","AR","1701 S SHACKLEFORD ROAD","72211","66"
"44664.45","8227.14","6936.52","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Redding","EUREKA","50006","ST JOSEPH HOSPITAL","CA","2700 DOLBEER ST","95501","48"
"51950.87","7863","6872.5","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - San Mateo County","BURLINGAME","50007","PENINSULA MEDICAL CENTER","CA","1501 TROUSDALE DRIVE","94010","16"
"105929.47","9438","8376.35","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Napa","SAINT HELENA","50013","ST HELENA HOSPITAL","CA","10 WOODLAND ROAD","94574","17"
"66207.66","10863.22","6924.70","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Sacramento","SACRAMENTO","50017","MERCY GENERAL HOSPITAL","CA","4001 J ST","95819","27"
"40062.46","7449.80","6358.07","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - San Diego","LA MESA","50026","GROSSMONT HOSPITAL","CA","5555 GROSSMONT CENTER DRIVE BOX 58","91942","26"
"53334.80","8012.23","6213.19","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Bakersfield","BAKERSFIELD","50036","BAKERSFIELD MEMORIAL HOSPITAL","CA","420 34TH ST BOX 1888","93301","21"
"42446.30","6967.73","5966.62","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Chico","CHICO","50039","ENLOE MEDICAL CENTER","CA","1531 ESPLANADE","95926","56"
"27027.93","8333.86","6639.33","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Los Angeles","LANCASTER","50056","ANTELOPE VALLEY HOSPITAL MED CENTER","CA","1600 W AVE J","93534","15"
"30686.01","7562.26","6247.48","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Bakersfield","VISALIA","50057","KAWEAH DELTA MEDICAL CENTER","CA","400 W MINERAL KING AVE","93291","52"
"65099.54","11082.18","10056","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Los Angeles","GLENDALE","50058","GLENDALE MEM HOSPITAL & HLTH CENTER","CA","1420 S CENTRAL AVE","91204","11"
"35690.02","7188.9","6347.1","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Orange County","ORANGE","50069","ST JOSEPH HOSPITAL","CA","1100 WEST STEWART DR","92868","40"
"57187.30","8791.69","7925.84","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - San Diego","SAN DIEGO","50077","SCRIPPS MERCY HOSPITAL","CA","4077 5TH AVE","92103","13"
"72051.89","8009.17","6393.35","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Ventura","OXNARD","50082","ST JOHNS REGIONAL MEDICAL CENTER","CA","1600 N ROSE AVE","93030","28"
"59184.74","8628.40","7758.53","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Stockton","STOCKTON","50084","ST JOSEPHS MED CENTER OF STOCKTON","CA","1800 N CALIFORNIA ST","95204","66"
"41460.67","7471.70","6580.29","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Fresno","FRESNO","50093","SAINT AGNES MEDICAL CENTER","CA","1303 E HERNDON AVE","93710","34"
"51983.85","7992.35","6967.76","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Santa Barbara","SANTA MARIA","50107","MARIAN MEDICAL CENTER","CA","1400 E CHURCH ST","93454","34"
"60997.16","8894.85","7905.65","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Sacramento","SACRAMENTO","50108","SUTTER GENERAL HOSPITAL","CA","2801 L STREET","95816","67"
"44775.91","6992.33","5583","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - San Diego","ESCONDIDO","50115","PALOMAR MEDICAL CENTER","CA","555 E VALLEY PARKWAY","92025","12"
"52977.92","7548.76","6598.30","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - San Diego","OCEANSIDE","50128","TRI-CITY MEDICAL CENTER","CA","4002 VISTA WAY","92056","26"
"45246.74","7863.14","6946.70","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Sacramento","MARYSVILLE","50133","RIDEOUT MEMORIAL HOSPITAL","CA","726 4TH ST","95901","27"
"39046.81","6710.81","5465.62","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Orange County","FULLERTON","50168","ST JUDE MEDICAL CENTER","CA","101 E VALENCIA MESA DRIVE","92835","16"
"82480.75","8830.75","7773.5","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Santa Rosa","SANTA ROSA","50174","SANTA ROSA MEMORIAL HOSPITAL","CA","1165 MONTGOMERY DR","95405","16"
"57258.73","7714.13","6888.26","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Modesto","TURLOCK","50179","EMANUEL MEDICAL CENTER INC","CA","825 DELBON AVE","95382","15"
"51813.13","8349.60","5585.21","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Los Angeles","LONG BEACH","50485","LONG BEACH MEMORIAL MEDICAL CENTER","CA","2801 ATLANTIC AVE","90806","23"
"85165.1","12355.85","6776.5","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Contra Costa County","WALNUT CREEK","50180","JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS","CA","1601 YGNACIO VALLEY RD","94598","20"
"94693.84","8682.94","6084.89","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - San Mateo County","REDWOOD CITY","50197","SEQUOIA HOSPITAL","CA","170 ALAMEDA DE LAS PULGAS","94062","19"
"55232.69","8104.38","7410.23","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - San Diego","CHULA VISTA","50222","SHARP CHULA VISTA MEDICAL CENTER","CA","751 MEDICAL CENTER COURT","91911","13"
"29350.85","6511.29","5386.02","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Orange County","NEWPORT BEACH","50224","HOAG MEMORIAL HOSPITAL PRESBYTERIAN","CA","ONE HOAG DRIVE","92663","34"
"60022.58","7122","6278.33","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Chico","PARADISE","50225","FEATHER RIVER HOSPITAL","CA","5974 PENTZ ROAD","95969","12"
"64419.66","7185.44","6249.22","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - San Luis Obispo","SAN LUIS OBISPO","50232","FRENCH HOSPITAL MEDICAL CENTER","CA","1911 JOHNSON AVE","93401","18"
"101282.03","8294.93","7639.70","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Los Angeles","BURBANK","50235","PROVIDENCE SAINT JOSEPH MEDICAL CTR","CA","501 SOUTH BUENA VISTA","91505","31"
"30027.54","7733","7024.27","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Los Angeles","ARCADIA","50238","METHODIST HOSPITAL OF SOUTHERN CA","CA","300 W HUNTINGTON DR","91006","11"
"88175","8766.83","5902.5","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Palm Springs/Rancho M","PALM SPRINGS","50243","DESERT REGIONAL MEDICAL CENTER","CA","1150 NORTH INDIAN CANYON DRIVE","92262","12"
"36730.69","11899.76","10946.84","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Los Angeles","LOS ANGELES","50262","RONALD REAGAN UCLA MEDICAL CENTER","CA","757 WESTWOOD PLAZA","90095","13"
"48567.22","8668.09","7251.45","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Redding","REDDING","50280","MERCY MEDICAL CENTER REDDING","CA","2175 ROSALINE AVE, CLAIRMONT HGTS","96001","75"
"26209.54","6483","5512.63","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Los Angeles","SANTA MONICA","50290","SAINT JOHN'S HEALTH CENTER","CA","2121 SANTA MONICA BLVD","90404","22"
"43000.11","10671.64","9880.11","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Santa Rosa","SANTA ROSA","50291","SUTTER MEDICAL CENTER OF SANTA ROSA","CA","3325 CHANATE RD","95404","17"
"48852.45","7049.09","5825.81","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Bakersfield","BAKERSFIELD","50295","MERCY HOSPITAL","CA","2215 TRUXTUN AVENUE","93301","11"
"59465","8180","7339","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - San Jose","MOUNTAIN VIEW","50308","EL CAMINO HOSPITAL","CA","2500 GRANT ROAD","94040","12"
"41204.23","8964.61","5847","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Sacramento","ROSEVILLE","50309","SUTTER ROSEVILLE MEDICAL CENTER","CA","ONE MEDICAL PLAZA","95661","13"
"53860.17","16744.82","7051.05","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Salinas","SALINAS","50334","SALINAS VALLEY MEMORIAL HOSPITAL","CA","450 EAST ROMIE LANE","93901","17"
"30510.29","6793.64","5009.94","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Los Angeles","TORRANCE","50351","TORRANCE MEMORIAL MEDICAL CENTER","CA","3330 LOMITA BLVD","90509","17"
"62077.71","8526","7540.5","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - San Francisco","GREENBRAE","50360","MARIN GENERAL HOSPITAL","CA","250 BON AIR ROAD, PO BOX 8010","94904","32"
"69223.47","11721.64","7132.82","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - San Jose","SAN JOSE","50380","GOOD SAMARITAN HOSPITAL","CA","2425 SAMARITAN DRIVE","95124","17"
"42287.47","9044","7859.88","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Los Angeles","COVINA","50382","CITRUS VALLEY MEDICAL CENTER-IC CAMPUS","CA","210 W  SAN BERNARDINO ROAD","91723","17"
"36866.31","7513.31","6508.89","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - San Bernardino","HEMET","50390","HEMET VALLEY MEDICAL CENTER","CA","1117 EAST DEVONSHIRE","92543","19"
"60448.47","6967.23","6110.85","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Ventura","VENTURA","50394","COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA","CA","147 N BRENT ST","93003","21"
"37691.96","7533.5","6573.5","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Santa Barbara","SANTA BARBARA","50396","SANTA BARBARA COTTAGE HOSPITAL","CA","400 WEST PUEBLO","93102","28"
"62924.09","7309.81","6289.45","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - San Diego","LA JOLLA","50424","SCRIPPS GREEN HOSPITAL","CA","10666 NORTH TORREY PINES ROAD","92037","11"
"31305.47","7804","6738.31","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Los Angeles","PASADENA","50438","HUNTINGTON MEMORIAL HOSPITAL","CA","100 W  CALIFORNIA BLVD","91109","19"
"90836.48","12396.29","11483.40","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - San Mateo County","STANFORD","50441","STANFORD HOSPITAL","CA","300 PASTEUR DRIVE","94305","27"
"72225.31","8882.77","7953.97","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Modesto","MODESTO","50464","DOCTORS MEDICAL CENTER","CA","1441 FLORIDA AVENUE","95350","35"
"64346.68","6770.06","5718.81","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Los Angeles","WEST HILLS","50481","WEST HILLS HOSPITAL & MEDICAL CENTER","CA","7300 MEDICAL CENTER DR","91307","16"
"79033.5","8485","7582.6","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Contra Costa County","CONCORD","50496","JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS","CA","2540 EAST ST","94520","20"
"54446.46","9882.15","7246.15","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Sacramento","CARMICHAEL","50516","MERCY SAN JUAN MEDICAL CENTER","CA","6501 COYLE AVE","95608","39"
"56328.90","7835","6914.63","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Ventura","THOUSAND OAKS","50549","LOS ROBLES HOSPITAL & MEDICAL CENTER","CA","215 W JANSS RD","91360","11"
"64229.61","6719.38","5177.23","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Orange County","LOS ALAMITOS","50551","LOS ALAMITOS MEDICAL CENTER","CA","3751 KATELLA AVENUE","90720","13"
"60264.97","7457.39","6440.51","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Modesto","MODESTO","50557","MEMORIAL  MEDICAL CENTER","CA","1700 COFFEE RD","95355","41"
"50977.01","6519.71","5129.47","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","CA - Palm Springs/Rancho M","RANCHO MIRAGE","50573","EISENHOWER MEDICAL CENTER","CA","39-000 BOB HOPE DRIVE","92270","53"
