This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Exports 	 Date of Information
144 	 Antigua and Barbuda 	 $        689,000,000 	 2002
145 	 Togo 	 $        663,100,000 	 2004 est.
146 	 Kyrgyzstan 	 $        646,700,000 	 2004 est.
147 	 Bahamas, The 	 $        636,000,000 	 2003 est.
148 	 Uganda 	 $        621,700,000 	 2004 est.
149 	 Fiji 	 $        609,000,000 	 2002
150 	 Guyana 	 $        570,200,000 	 2004 est.
151 	 Nepal 	 $        568,000,000 	 2002 est.
152 	 Ethiopia 	 $        562,800,000 	 2004 est.
153 	 Albania 	 $        552,400,000 	 2004 est.
154 	 Mauritania 	 $        541,000,000 	 2002
155 	 Malawi 	 $        503,400,000 	 2004 est.
156 	 Suriname 	 $        495,000,000 	 2002
157 	 Lesotho 	 $        484,500,000 	 2004 est.
158 	 New Caledonia 	 $        448,000,000 	 2002
159 	 Afghanistan 	 $        446,000,000 	 FY03-04
160 	 Burkina Faso 	 $        418,600,000 	 2004 est.
161 	 Faroe Islands 	 $        408,000,000 	 2002
162 	 Belize 	 $        401,400,000 	 2004 est.
163 	 Greenland 	 $        388,000,000 	 2002
164 	 Laos 	 $        365,500,000 	 2004 est.
165 	 Chad 	 $        365,000,000 	 2003 est.
166 	 Haiti 	 $        338,100,000 	 2004 est.
167 	 Niger 	 $        280,000,000 	 2002 est.
168 	 Seychelles 	 $        256,200,000 	 2004 est.
169 	 Martinique 	 $        250,000,000 	 1997
170 	 French Polynesia 	 $        244,000,000 	 2002
171 	 Reunion 	 $        214,000,000 	 1997
172 	 Barbados 	 $        206,000,000 	 2002
173 	 Gaza Strip 	 $        205,000,000 	 2002
174 	 West Bank 	 $        205,000,000 	 2002
175 	 Central African Republic 	 $        172,000,000 	 2002 est.
176 	 Turks and Caicos Islands 	 $        169,200,000 	 2000
177 	 Djibouti 	 $        155,000,000 	 2002 est.
178 	 French Guiana 	 $        155,000,000 	 2002 est.
179 	 Bhutan 	 $        154,000,000 	 2000 est.
180 	 Guadeloupe 	 $        140,000,000 	 1997
181 	 Gibraltar 	 $        136,000,000 	 2002
182 	 Aruba 	 $        128,000,000 	 2002 est.
183 	 Gambia, The 	 $        114,400,000 	 2004 est.
184 	 Maldives 	 $         90,000,000 	 2002 est.
185 	 Falkland Islands (Islas Malvinas) 	 $         82,000,000 	 2002
186 	 Somalia 	 $         79,000,000 	 2002 est.
187 	 Solomon Islands 	 $         74,000,000 	 2003 est.
188 	 Saint Kitts and Nevis 	 $         70,000,000 	 2002 est.
189 	 Rwanda 	 $         69,780,000 	 2004 est.
190 	 Saint Lucia 	 $         66,000,000 	 2002 est.
191 	 Eritrea 	 $         64,440,000 	 2004 est.
192 	 Cape Verde 	 $         61,110,000 	 2004 est.
193 	 Andorra 	 $         58,000,000 	 1998
194 	 Guinea-Bissau 	 $         54,000,000 	 2002 est.
195 	 Cyprus 	 $         49,300,000 	 2004 est.
196 	 Sierra Leone 	 $         49,000,000 	 2002 est.
197 	 Grenada 	 $         46,000,000 	 2002 est.
198 	 Dominica 	 $         39,000,000 	 2003 est.
199 	 Guam 	 $         38,000,000 	 2002 est.
200 	 Saint Vincent and the Grenadines 	 $         38,000,000 	 2002 est.
201 	 Kiribati 	 $         35,000,000 	 2002
202 	 Burundi 	 $         31,840,000 	 2004 est.
203 	 American Samoa 	 $         30,000,000 	 2002
204 	 Comoros 	 $         28,000,000 	 2002 est.
205 	 Tonga 	 $         27,000,000 	 2002 est.
206 	 Vanuatu 	 $         26,600,000 	 2003
207 	 British Virgin Islands 	 $         25,300,000 	 2002
208 	 Micronesia, Federated States of 	 $         22,000,000 	 FY99/00 est.
209 	 Palau 	 $         18,000,000 	 2001 est.
210 	 Saint Helena 	 $         17,000,000 	 2002
211 	 Samoa 	 $         14,000,000 	 2002
212 	 Saint Pierre and Miquelon 	 $         10,000,000 	 2002
213 	 Cook Islands 	 $          9,100,000 	 2000
214 	 Marshall Islands 	 $          9,000,000 	 2000
215 	 East Timor 	 $          8,000,000 	 2004 est.
216 	 Sao Tome and Principe 	 $          6,700,000 	 2004 est.
217 	 Mayotte 	 $          3,440,000 	 1997
218 	 Anguilla 	 $          2,600,000 	 1999
219 	 Norfolk Island 	 $          1,500,000 	 FY99/00
220 	 Cayman Islands 	 $          1,200,000 	 1999
221 	 Tuvalu 	 $          1,000,000 	 2002
222 	 Montserrat 	 $           700,000 	 2001
223 	 Nauru 	 $           640,000 	 2004 est.
224 	 Wallis and Futuna 	 $           250,000 	 1999
225 	 Niue 	 $           137,200 	 1999
226 	 Tokelau 	 $            98,000 	 1983

 This file was last updated on 20 October, 2005
