This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Natural gas - consumption(cu m) 	 Date of Information
61 	 Norway 	      4,100,000,000 	 2001 est.
62 	 Tunisia 	      3,830,000,000 	 2001 est.
63 	 Switzerland 	      3,093,000,000 	 2001 est.
64 	 Croatia 	      2,840,000,000 	 2001 est.
65 	 Lithuania 	      2,760,000,000 	 2001 est.
66 	 Portugal 	      2,542,000,000 	 2001 est.
67 	 Singapore 	      2,500,000,000 	 2001 est.
68 	 Iraq 	      2,350,000,000 	 2002 est.
69 	 Moldova 	      2,050,000,000 	 2001 est.
70 	 Greece 	      2,021,000,000 	 2001 est.
71 	 Kyrgyzstan 	      2,016,000,000 	 2001 est.
72 	 South Africa 	      1,800,000,000 	 2001 est.
73 	 Latvia 	      1,700,000,000 	 2001 est.
74 	 Burma 	      1,569,000,000 	 2003 est.
75 	 Armenia 	      1,400,000,000 	 2001 est.
76 	 Brunei 	      1,350,000,000 	 2001 est.
77 	 Cote d'Ivoire 	      1,350,000,000 	 2001 est.
78 	 Tajikistan 	      1,300,000,000 	 2001 est.
79 	 Vietnam 	      1,300,000,000 	 2001 est.
80 	 Estonia 	      1,270,000,000 	 2001 est.
81 	 Georgia 	      1,160,000,000 	 2001 est.
82 	 Bolivia 	      1,150,000,000 	 2001 est.
83 	 Slovenia 	      1,040,000,000 	 2001 est.
84 	 Sweden 	       949,000,000 	 2001 est.
85 	 Peru 	       910,000,000 	 2004 est.
86 	 Luxembourg 	       865,000,000 	 2001 est.
87 	 Hong Kong 	       680,900,000 	 2001 est.
88 	 Puerto Rico 	       630,000,000 	 2001 est.
89 	 Serbia and Montenegro 	       602,000,000 	 2001 est.
90 	 Cuba 	       600,000,000 	 2001 est.
91 	 Angola 	       530,000,000 	 2001 est.
92 	 Bosnia and Herzegovina 	       300,000,000 	 2001 est.
93 	 Jordan 	       290,000,000 	 2001 est.
94 	 Afghanistan 	       220,000,000 	 2001 est.
95 	 Ecuador 	       160,000,000 	 2001 est.
96 	 Papua New Guinea 	       110,000,000 	 2001 est.
97 	 Gabon 	        80,000,000 	 2001 est.
98 	 Uruguay 	        64,500,000 	 2003 est.
99 	 Mozambique 	        60,000,000 	 2001 est.
100 	 Morocco 	        50,000,000 	 2001 est.
101 	 Senegal 	        50,000,000 	 2001 est.
102 	 Albania 	        30,000,000 	 2001 est.
103 	 Barbados 	        29,170,000 	 2001 est.
104 	 Philippines 	        25,000,000 	 2004 est.
105 	 Equatorial Guinea 	        20,000,000 	 2001 est.
106 	 Israel 	        10,000,000 	 2001 est.
107 	 Congo, Republic of the 	               0 	 2001 est.
108 	 Yemen 	               0 	 2003 est.
109 	 Cameroon 	               0 	 2001 est.

 This file was last updated on 20 October, 2005
