This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Debt - external 	 Date of Information
135 	 Belize 	 $       1,362,000,000 	 June 2004 est.
136 	 Netherlands Antilles 	 $       1,350,000,000 	 1996
137 	 Rwanda 	 $       1,300,000,000 	 2000 est.
138 	 Burkina Faso 	 $       1,300,000,000 	 2000
139 	 French Guiana 	 $       1,200,000,000 	 1988
140 	 Haiti 	 $       1,200,000,000 	 2004 est.
141 	 Guyana 	 $       1,200,000,000 	 2002
142 	 Mongolia 	 $       1,191,000,000 	 2004 est.
143 	 Namibia 	 $       1,136,000,000 	 2004 est.
144 	 Burundi 	 $       1,133,000,000 	 2002
145 	 Chad 	 $       1,100,000,000 	 2000 est.
146 	 Mozambique 	 $        966,000,000 	 2002 est.
147 	 Guinea-Bissau 	 $        941,500,000 	 2000 est.
148 	 Armenia 	 $        905,000,000 	 June 2001
149 	 Tajikistan 	 $        888,000,000 	 2004 est.
150 	 Central African Republic 	 $        881,400,000 	 2000 est.
151 	 Lesotho 	 $        735,000,000 	 2002
152 	 Barbados 	 $        668,000,000 	 2003
153 	 Belarus 	 $        600,000,000 	 2004 est.
154 	 Botswana 	 $        531,000,000 	 2004 est.
155 	 Gambia, The 	 $        476,000,000 	 2001 est.
156 	 Djibouti 	 $        366,000,000 	 2002 est.
157 	 Cape Verde 	 $        325,000,000 	 2002
158 	 Suriname 	 $        321,000,000 	 2002 est.
159 	 Swaziland 	 $        320,000,000 	 2002 est.
160 	 Sao Tome and Principe 	 $        318,000,000 	 2002
161 	 Eritrea 	 $        311,000,000 	 2000 est.
162 	 Bahamas, The 	 $        308,500,000 	 2002
163 	 Aruba 	 $        285,000,000 	 1996
164 	 Maldives 	 $        281,000,000 	 2003 est.
165 	 Equatorial Guinea 	 $        248,000,000 	 2000 est.
166 	 Bhutan 	 $        245,000,000 	 2000
167 	 Comoros 	 $        232,000,000 	 2000 est.
168 	 Antigua and Barbuda 	 $        231,000,000 	 1999
169 	 Seychelles 	 $        218,100,000 	 2004 est.
170 	 Saint Lucia 	 $        214,000,000 	 2000
171 	 Samoa 	 $        197,000,000 	 2000
172 	 Grenada 	 $        196,000,000 	 2000
173 	 Fiji 	 $        188,100,000 	 2001 est.
174 	 Solomon Islands 	 $        180,400,000 	 2002
175 	 Martinique 	 $        180,000,000 	 1994
176 	 Saint Kitts and Nevis 	 $        171,000,000 	 2001
177 	 Saint Vincent and the Grenadines 	 $        167,200,000 	 2000
178 	 Dominica 	 $        161,500,000 	 2001
179 	 Bermuda 	 $        160,000,000 	 FY99/00
180 	 Cook Islands 	 $        141,000,000 	 1996 est.
181 	 Malta 	 $        130,000,000 	 1997
182 	 Gaza Strip 	 $        108,000,000 	 1997 est.
183 	 West Bank 	 $        108,000,000 	 1997 est.
184 	 Marshall Islands 	 $         86,500,000 	 FY99/00 est.
185 	 Vanuatu 	 $         83,700,000 	 2002
186 	 New Caledonia 	 $         79,000,000 	 1998 est.
187 	 Cayman Islands 	 $         70,000,000 	 1996
188 	 Faroe Islands 	 $         64,000,000 	 1999
189 	 Tonga 	 $         63,400,000 	 2001
190 	 Micronesia, Federated States of 	 $         53,100,000 	 FY02/03 est.
191 	 British Virgin Islands 	 $         36,100,000 	 1997
192 	 Nauru 	 $         33,300,000 	 2002
193 	 Greenland 	 $         25,000,000 	 1999
194 	 Kiribati 	 $         10,000,000 	 1999 est.
195 	 Montserrat 	 $          8,900,000 	 1997
196 	 Anguilla 	 $          8,800,000 	 1998
197 	 Niue 	 $           418,000 	 2002 est.
198 	 Brunei 	 $                0 	 
199 	 Norway 	 $                0 	 2003 est.
200 	 Tokelau 	 $                0 	 
201 	 Palau 	 $                0 	 FY99/00
202 	 Liechtenstein 	 $                0 	 2001

 This file was last updated on 20 October, 2005
