This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Investment (gross fixed)(% of GDP) 	 Date of Information
127 	 United States 	     15.70 	 2004 est.
128 	 Guatemala 	     14.90 	 2004 est.
129 	 Kenya 	     14.70 	 2004 est.
130 	 Madagascar 	     14.70 	 2004 est.
131 	 Serbia and Montenegro 	     14.40 	 2004 est.
132 	 Papua New Guinea 	     13.60 	 2004 est.
133 	 Oman 	     13.50 	 2004 est.
134 	 Venezuela 	     12.90 	 2004 est.
135 	 Bahrain 	     12.80 	 2004 est.
136 	 Jordan 	     11.60 	 2004 est.
137 	 Cote d'Ivoire 	     11.30 	 2004 est.
138 	 Cuba 	     11.20 	 2004 est.
139 	 Burundi 	     10.70 	 2004 est.
140 	 Malawi 	     10.70 	 2004 est.
141 	 Bolivia 	     10.40 	 2003 est.
142 	 Burma 	     10.20 	 2004 est.
143 	 Libya 	      9.90 	 2004 est.
144 	 Zimbabwe 	      9.90 	 2004 est.
145 	 Uruguay 	      9.60 	 2004 est.
146 	 Kuwait 	      8.00 	 2004 est.

 This file was last updated on 20 October, 2005
