This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP - per capita 	 Date of Information
113 	 Bosnia and Herzegovina 	 $             6,500 	 2004 est.
114 	 Dominican Republic 	 $             6,300 	 2004 est.
115 	 Ukraine 	 $             6,300 	 2004 est.
116 	 Reunion 	 $             6,000 	 2004 est.
117 	 Fiji 	 $             5,900 	 2004 est.
118 	 Gabon 	 $             5,900 	 2004 est.
119 	 Venezuela 	 $             5,800 	 2004 est.
120 	 Turkmenistan 	 $             5,700 	 2004 est.
121 	 China 	 $             5,600 	 2004 est.
122 	 Peru 	 $             5,600 	 2004 est.
123 	 Samoa 	 $             5,600 	 2002 est.
124 	 Dominica 	 $             5,500 	 2003 est.
125 	 Saint Lucia 	 $             5,400 	 2002 est.
126 	 Swaziland 	 $             5,100 	 2004 est.
127 	 Cook Islands 	 $             5,000 	 2001 est.
128 	 Lebanon 	 $             5,000 	 2004 est.
129 	 Philippines 	 $             5,000 	 2004 est.
130 	 Nauru 	 $             5,000 	 2001 est.
131 	 Grenada 	 $             5,000 	 2002 est.
132 	 Albania 	 $             4,900 	 2004 est.
133 	 El Salvador 	 $             4,900 	 2004 est.
134 	 Paraguay 	 $             4,800 	 2004 est.
135 	 Armenia 	 $             4,600 	 2004 est.
136 	 Jordan 	 $             4,500 	 2004 est.
137 	 Suriname 	 $             4,300 	 2004 est.
138 	 Egypt 	 $             4,200 	 2004 est.
139 	 Morocco 	 $             4,200 	 2004 est.
140 	 Guatemala 	 $             4,200 	 2004 est.
141 	 Jamaica 	 $             4,100 	 2004 est.
142 	 Sri Lanka 	 $             4,000 	 2004 est.
143 	 Maldives 	 $             3,900 	 2002 est.
144 	 Azerbaijan 	 $             3,800 	 2004 est.
145 	 Wallis and Futuna 	 $             3,800 	 2004 est.
146 	 Guyana 	 $             3,800 	 2004 est.
147 	 Ecuador 	 $             3,700 	 2004 est.
148 	 Niue 	 $             3,600 	 2000 est.
149 	 Indonesia 	 $             3,500 	 2004 est.
150 	 Montserrat 	 $             3,400 	 2002 est.
151 	 Syria 	 $             3,400 	 2004 est.
152 	 Lesotho 	 $             3,200 	 2004 est.
153 	 Georgia 	 $             3,100 	 2004 est.
154 	 India 	 $             3,100 	 2004 est.
155 	 Cuba 	 $             3,000 	 2004 est.
156 	 Vanuatu 	 $             2,900 	 2003 est.
157 	 Saint Vincent and the Grenadines 	 $             2,900 	 2002 est.
158 	 Honduras 	 $             2,800 	 2004 est.
159 	 Equatorial Guinea 	 $             2,700 	 2002 est.
160 	 Vietnam 	 $             2,700 	 2004 est.
161 	 Bolivia 	 $             2,600 	 2004 est.
162 	 Mayotte 	 $             2,600 	 2003 est.
163 	 Saint Helena 	 $             2,500 	 1998 est.
164 	 Serbia and Montenegro 	 $             2,400 	 2004 est.
165 	 Ghana 	 $             2,300 	 2004 est.
166 	 Tonga 	 $             2,300 	 2002 est.
167 	 Nicaragua 	 $             2,300 	 2004 est.
168 	 Pakistan 	 $             2,200 	 2004 est.
169 	 Papua New Guinea 	 $             2,200 	 2004 est.
170 	 Angola 	 $             2,100 	 2004 est.
171 	 Guinea 	 $             2,100 	 2004 est.
172 	 Iraq 	 $             2,100 	 2004 est.
173 	 Bangladesh 	 $             2,000 	 2004 est.
174 	 Cambodia 	 $             2,000 	 2004 est.
175 	 Micronesia, Federated States of 	 $             2,000 	 2002 est.
176 	 Cameroon 	 $             1,900 	 2004 est.
177 	 Laos 	 $             1,900 	 2004 est.
178 	 Mongolia 	 $             1,900 	 2004 est.
179 	 Moldova 	 $             1,900 	 2004 est.
180 	 Zimbabwe 	 $             1,900 	 2004 est.
181 	 Sudan 	 $             1,900 	 2004 est.
182 	 Gambia, The 	 $             1,800 	 2004 est.
183 	 Uzbekistan 	 $             1,800 	 2004 est.
184 	 Mauritania 	 $             1,800 	 2004 est.
185 	 Burma 	 $             1,700 	 2004 est.
186 	 Senegal 	 $             1,700 	 2004 est.
187 	 Kyrgyzstan 	 $             1,700 	 2004 est.
188 	 Korea, North 	 $             1,700 	 2004 est.
189 	 Solomon Islands 	 $             1,700 	 2002 est.
190 	 Chad 	 $             1,600 	 2004 est.
191 	 Togo 	 $             1,600 	 2004 est.
192 	 Marshall Islands 	 $             1,600 	 2001 est.
193 	 Haiti 	 $             1,500 	 2004 est.
194 	 Cote d'Ivoire 	 $             1,500 	 2004 est.
195 	 Uganda 	 $             1,500 	 2004 est.
196 	 Nepal 	 $             1,500 	 2004 est.
197 	 Bhutan 	 $             1,400 	 2003 est.
198 	 Cape Verde 	 $             1,400 	 2002 est.
199 	 Djibouti 	 $             1,300 	 2002 est.
200 	 Rwanda 	 $             1,300 	 2004 est.
201 	 Benin 	 $             1,200 	 2004 est.
202 	 Mozambique 	 $             1,200 	 2004 est.
203 	 Burkina Faso 	 $             1,200 	 2004 est.
204 	 Sao Tome and Principe 	 $             1,200 	 2003 est.
205 	 Central African Republic 	 $             1,100 	 2004 est.
206 	 Tuvalu 	 $             1,100 	 2000 est.
207 	 Tajikistan 	 $             1,100 	 2004 est.
208 	 Kenya 	 $             1,100 	 2004 est.
209 	 Nigeria 	 $             1,000 	 2004 est.
210 	 Tokelau 	 $             1,000 	 1993 est.
211 	 Eritrea 	 $              900 	 2004 est.
212 	 Zambia 	 $              900 	 2004 est.
213 	 Niger 	 $              900 	 2004 est.
214 	 Mali 	 $              900 	 2004 est.
215 	 Liberia 	 $              900 	 2004 est.
216 	 Afghanistan 	 $              800 	 2003 est.
217 	 Congo, Republic of the 	 $              800 	 2004 est.
218 	 Kiribati 	 $              800 	 2001 est.
219 	 Ethiopia 	 $              800 	 2004 est.
220 	 Madagascar 	 $              800 	 2004 est.
221 	 Yemen 	 $              800 	 2004 est.
222 	 West Bank 	 $              800 	 2003 est.
223 	 Congo, Democratic Republic of the 	 $              700 	 2004 est.
224 	 Guinea-Bissau 	 $              700 	 2004 est.
225 	 Tanzania 	 $              700 	 2004 est.
226 	 Comoros 	 $              700 	 2002 est.
227 	 Burundi 	 $              600 	 2004 est.
228 	 Somalia 	 $              600 	 2004 est.
229 	 Gaza Strip 	 $              600 	 2003 est.
230 	 Sierra Leone 	 $              600 	 2004 est.
231 	 Malawi 	 $              600 	 2004 est.
232 	 East Timor 	 $              400 	 2004 est.

 This file was last updated on 20 October, 2005
