This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - consumption(bbl/day) 	 Date of Information
83 	 Sudan 	           70,000 	 2004 est.
84 	 Jamaica 	           66,000 	 2001 est.
85 	 Virgin Islands 	           66,000 	 2001 est.
86 	 Serbia and Montenegro 	           64,000 	 2001 est.
87 	 Turkmenistan 	           63,000 	 2001 est.
88 	 Guatemala 	           61,000 	 2001 est.
89 	 Burma 	           60,950 	 2003 est.
90 	 Kenya 	           57,000 	 2001 est.
91 	 Oman 	           54,000 	 2003 est.
92 	 Slovenia 	           53,300 	 2001 est.
93 	 Luxembourg 	           50,650 	 2001 est.
94 	 Bolivia 	           49,000 	 2001 est.
95 	 Cyprus 	           49,000 	 2001 est.
96 	 Latvia 	           44,000 	 2001 est.
97 	 Gibraltar 	           42,000 	 2001 est.
98 	 Uruguay 	           41,500 	 2001 est.
99 	 Panama 	           40,520 	 2003 est.
100 	 Bahrain 	           40,000 	 2003 est.
101 	 El Salvador 	           39,000 	 2001 est.
102 	 Ghana 	           38,000 	 2001 est.
103 	 Costa Rica 	           37,000 	 2001 est.
104 	 Cote d'Ivoire 	           32,000 	 2001 est.
105 	 Georgia 	           31,500 	 2001 est.
106 	 Angola 	           31,000 	 2001 est.
107 	 Senegal 	           31,000 	 2001 est.
108 	 Qatar 	           30,000 	 2003 est.
109 	 Honduras 	           29,000 	 2001 est.
110 	 Nicaragua 	           25,770 	 2003 est.
111 	 Paraguay 	           25,000 	 2001 est.
112 	 Estonia 	           24,000 	 2001 est.
113 	 Mauritania 	           24,000 	 2001 est.
114 	 Trinidad and Tobago 	           24,000 	 2001 est.
115 	 Moldova 	           24,000 	 2001 est.
116 	 Bahamas, The 	           23,000 	 2001 est.
117 	 Zimbabwe 	           23,000 	 2001 est.
118 	 Ethiopia 	           23,000 	 2001 est.
119 	 Cameroon 	           22,000 	 2001 est.
120 	 Macedonia 	           22,000 	 2003 est.
121 	 Mauritius 	           21,000 	 2001 est.
122 	 Bosnia and Herzegovina 	           20,000 	 2001 est.
123 	 Guam 	           20,000 	 2001 est.
124 	 Tajikistan 	           20,000 	 2001 est.
125 	 Malta 	           20,000 	 2001 est.
126 	 Kyrgyzstan 	           20,000 	 2001 est.
127 	 Reunion 	           18,000 	 2001 est.
128 	 Tanzania 	           17,000 	 2001 est.
129 	 Iceland 	           16,300 	 2001 est.
130 	 Botswana 	           16,000 	 2001 est.
131 	 Nepal 	           16,000 	 2001 est.
132 	 Papua New Guinea 	           15,000 	 2001 est.
133 	 Congo, Democratic Republic of the 	           14,000 	 2001 est.
134 	 Suriname 	           14,000 	 2004 est.
135 	 Martinique 	           13,500 	 2001 est.
136 	 Brunei 	           13,000 	 2001 est.
137 	 Madagascar 	           13,000 	 2001 est.
138 	 Gabon 	           13,000 	 2001 est.
139 	 Namibia 	           13,000 	 2001 est.
140 	 Guadeloupe 	           13,000 	 2001 est.
141 	 Benin 	           11,500 	 2001 est.
142 	 Djibouti 	           11,300 	 2001 est.
143 	 Macau 	           11,190 	 2001 est.
144 	 Guyana 	           11,000 	 2001 est.
145 	 Mongolia 	           11,000 	 2004 est.
146 	 Haiti 	           11,000 	 2001 est.
147 	 Zambia 	           11,000 	 2001 est.
148 	 Barbados 	           10,900 	 2001 est.
149 	 Togo 	           10,000 	 2001 est.
150 	 New Caledonia 	            8,750 	 2001 est.
151 	 Uganda 	            8,750 	 2001 est.
152 	 Guinea 	            8,600 	 2001 est.
153 	 Mozambique 	            8,500 	 2001 est.
154 	 Burkina Faso 	            8,000 	 2001 est.
155 	 Albania 	            7,500 	 2004 est.
156 	 Cambodia 	            7,200 	 2002 est.
157 	 Aruba 	            6,500 	 2001 est.
158 	 French Guiana 	            6,500 	 2001 est.
159 	 Sierra Leone 	            6,500 	 2001 est.
160 	 Eritrea 	            6,000 	 2001 est.
161 	 Armenia 	            5,700 	 2001 est.
162 	 Fiji 	            5,700 	 2001 est.
163 	 Malawi 	            5,400 	 2001 est.
164 	 Rwanda 	            5,300 	 2001 est.
165 	 Belize 	            5,000 	 2001 est.
166 	 Niger 	            5,000 	 2001 est.
167 	 Congo, Republic of the 	            5,000 	 2001 est.
168 	 French Polynesia 	            4,750 	 2001 est.
169 	 Faroe Islands 	            4,500 	 2001 est.
170 	 Bermuda 	            4,000 	 2001 est.
171 	 Mali 	            4,000 	 2001 est.
172 	 Seychelles 	            4,000 	 2001 est.
173 	 Somalia 	            4,000 	 2001 est.
174 	 American Samoa 	            3,800 	 2001 est.
175 	 Greenland 	            3,700 	 2001 est.
176 	 Antigua and Barbuda 	            3,600 	 2001 est.
177 	 Afghanistan 	            3,500 	 2001 est.
178 	 Swaziland 	            3,500 	 2001 est.
179 	 Maldives 	            3,200 	 2001 est.
180 	 Liberia 	            3,100 	 2001 est.
181 	 Burundi 	            2,750 	 2001 est.
182 	 Laos 	            2,750 	 2001 est.
183 	 Guinea-Bissau 	            2,500 	 2001 est.
184 	 Cayman Islands 	            2,400 	 2001 est.
185 	 Central African Republic 	            2,400 	 2001 est.
186 	 Saint Lucia 	            2,400 	 2001 est.
187 	 Cape Verde 	            2,000 	 2001 est.
188 	 Equatorial Guinea 	            2,000 	 2001 est.
189 	 Gambia, The 	            1,900 	 2001 est.
190 	 Western Sahara 	            1,800 	 2001 est.
191 	 Chad 	            1,500 	 2001 est.
192 	 Lesotho 	            1,500 	 2001
193 	 Solomon Islands 	            1,250 	 2001 est.
194 	 Saint Vincent and the Grenadines 	            1,250 	 2001 est.
195 	 Bhutan 	            1,020 	 2001 est.
196 	 Grenada 	            1,000 	 2001 est.
197 	 Samoa 	            1,000 	 2001 est.
198 	 Tonga 	            1,000 	 2001 est.
199 	 Nauru 	            1,000 	 2001 est.
200 	 Saint Kitts and Nevis 	             710 	 2001 est.
201 	 Comoros 	             700 	 2001 est.
202 	 Sao Tome and Principe 	             700 	 2001 est.
203 	 Dominica 	             600 	 2001 est.
204 	 Vanuatu 	             600 	 2001 est.
205 	 Saint Pierre and Miquelon 	             600 	 2001 est.
206 	 Cook Islands 	             450 	 2001 est.
207 	 British Virgin Islands 	             420 	 2001 est.
208 	 Montserrat 	             400 	 2001 est.
209 	 Falkland Islands (Islas Malvinas) 	             200 	 2001 est.
210 	 Saint Helena 	             200 	 2001 est.
211 	 Kiribati 	             190 	 2001 est.
212 	 Niue 	              20 	 2001 est.
213 	 Turks and Caicos Islands 	               0 	 

 This file was last updated on 20 October, 2005
