This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - production(bbl/day) 	 Date of Information
111 	 Namibia 	               0 	 2001 est.
112 	 Virgin Islands 	               0 	 2001 est.
113 	 British Virgin Islands 	               0 	 2001 est.
114 	 Saint Vincent and the Grenadines 	               0 	 2001 est.
115 	 Uruguay 	               0 	 2001 est.
116 	 Burkina Faso 	               0 	 2001 est.
117 	 Uganda 	               0 	 2001 est.
118 	 Tanzania 	               0 	 2001 est.
119 	 Sao Tome and Principe 	               0 	 2001 est.
120 	 Togo 	               0 	 2001 est.
121 	 Tonga 	               0 	 2001 est.
122 	 Turks and Caicos Islands 	               0 	 
123 	 Switzerland 	               0 	 2001 est.
124 	 Sweden 	               0 	 2001 est.
125 	 Saint Lucia 	               0 	 2001 est.
126 	 Somalia 	               0 	 2001 est.
127 	 Singapore 	               0 	 2001 est.
128 	 Sierra Leone 	               0 	 2001 est.
129 	 Saint Helena 	               0 	 2001 est.
130 	 Senegal 	               0 	 2001 est.
131 	 Seychelles 	               0 	 2001 est.
132 	 Saint Kitts and Nevis 	               0 	 2001 est.
133 	 Saint Pierre and Miquelon 	               0 	 2001 est.
134 	 Rwanda 	               0 	 2001 est.
135 	 Puerto Rico 	               0 	 2001 est.
136 	 Reunion 	               0 	 2001 est.
137 	 Guinea-Bissau 	               0 	 2001 est.
138 	 Portugal 	               0 	 2001 est.
139 	 Panama 	               0 	 2004 est.
140 	 Netherlands Antilles 	               0 	 2001 est.
141 	 Nauru 	               0 	 2001 est.
142 	 Nepal 	               0 	 2001 est.
143 	 Vanuatu 	               0 	 2001 est.
144 	 Niger 	               0 	 2001 est.
145 	 Niue 	               0 	 2001 est.
146 	 New Caledonia 	               0 	 2001 est.
147 	 Mozambique 	               0 	 2001 est.
148 	 Lebanon 	               0 	 2001 est.
149 	 Paraguay 	               0 	 2001 est.
150 	 Nicaragua 	               0 	 2003 est.
151 	 Laos 	               0 	 2001 est.
152 	 Korea, South 	               0 	 2004 est.
153 	 Kiribati 	               0 	 2001 est.
154 	 Korea, North 	               0 	 2001 est.
155 	 Kenya 	               0 	 2004 est.
156 	 Jamaica 	               0 	 2001 est.
157 	 Iceland 	               0 	 2001 est.
158 	 Honduras 	               0 	 2001 est.
159 	 Maldives 	               0 	 2001 est.
160 	 Malta 	               0 	 2004 est.
161 	 Mauritania 	               0 	 2001 est.
162 	 Mauritius 	               0 	 2001 est.
163 	 Mali 	               0 	 2001 est.
164 	 Macedonia 	               0 	 2003 est.
165 	 Malawi 	               0 	 2001 est.
166 	 Montserrat 	               0 	 2001 est.
167 	 Moldova 	               0 	 2001 est.
168 	 Macau 	               0 	 2001 est.
169 	 Martinique 	               0 	 2001 est.
170 	 Madagascar 	               0 	 2001 est.
171 	 Luxembourg 	               0 	 2001 est.
172 	 Lesotho 	               0 	 2001 est.
173 	 Liberia 	               0 	 2001 est.
174 	 Latvia 	               0 	 2001 est.
175 	 Hong Kong 	               0 	 2003 est.
176 	 Haiti 	               0 	 2001 est.
177 	 Guyana 	               0 	 2001 est.
178 	 Guinea 	               0 	 2001 est.
179 	 Guam 	               0 	 2001 est.
180 	 Guadeloupe 	               0 	 2001 est.
181 	 Greenland 	               0 	 2001 est.
182 	 Grenada 	               0 	 2001 est.
183 	 Gibraltar 	               0 	 2001 est.
184 	 Gambia, The 	               0 	 2001 est.
185 	 French Polynesia 	               0 	 2001 est.
186 	 Faroe Islands 	               0 	 2001 est.
187 	 Falkland Islands (Islas Malvinas) 	               0 	 2001 est.
188 	 Fiji 	               0 	 2001 est.
189 	 Finland 	               0 	 2001 est.
190 	 French Guiana 	               0 	 2001 est.
191 	 Ethiopia 	               0 	 2001 est.
192 	 El Salvador 	               0 	 2001 est.
193 	 Eritrea 	               0 	 2001 est.
194 	 Ireland 	               0 	 2001 est.
195 	 Dominican Republic 	               0 	 2001 est.
196 	 Dominica 	               0 	 2001 est.
197 	 Djibouti 	               0 	 2001 est.
198 	 Cook Islands 	               0 	 2001 est.
199 	 Cape Verde 	               0 	 2001 est.
200 	 Central African Republic 	               0 	 2001 est.
201 	 Costa Rica 	               0 	 2001 est.
202 	 Comoros 	               0 	 2001 est.
203 	 Cayman Islands 	               0 	 2001 est.
204 	 Sri Lanka 	               0 	 2001 est.
205 	 Cambodia 	               0 	 2001 est.
206 	 Burundi 	               0 	 2001 est.
207 	 Solomon Islands 	               0 	 2001 est.
208 	 Bosnia and Herzegovina 	               0 	 2001 est.
209 	 Bahamas, The 	               0 	 2001 est.
210 	 Bermuda 	               0 	 2001 est.
211 	 Armenia 	               0 	 2001 est.
212 	 American Samoa 	               0 	 2001 est.
213 	 Antigua and Barbuda 	               0 	 2001 est.

 This file was last updated on 20 October, 2005
