This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Industrial production growth rate(%) 	 Date of Information
147 	 Netherlands 	            0.80 	 2004 est.
148 	 El Salvador 	            0.70 	 2004 est.
149 	 Kiribati 	            0.70 	 1991 est.
150 	 Italy 	            0.70 	 2004 est.
151 	 Grenada 	            0.70 	 1997 est.
152 	 Cyprus 	            0.40 	 2002
153 	 Congo, Republic of the 	            0.00 	 2002 est.
154 	 Paraguay 	            0.00 	 2000 est.
155 	 Macedonia 	            0.00 	 2004 est.
156 	 Cyprus 	           -0.30 	 2002
157 	 New Caledonia 	           -0.60 	 1996
158 	 Saint Vincent and the Grenadines 	           -0.90 	 1997 est.
159 	 Oman 	           -1.20 	 2004 est.
160 	 Comoros 	           -2.00 	 1999 est.
161 	 Jamaica 	           -2.00 	 2000 est.
162 	 Barbados 	           -3.20 	 2000 est.
163 	 Kuwait 	           -5.00 	 2002 est.
164 	 Zimbabwe 	           -7.80 	 2004 est.
165 	 Saint Lucia 	           -8.90 	 1997 est.
166 	 Dominica 	          -10.00 	 1997 est.

 This file was last updated on 20 October, 2005
