This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Imports 	 Date of Information
145 	 Gabon 	 $       1,225,000,000 	 2004 est.
146 	 Equatorial Guinea 	 $       1,167,000,000 	 2004 est.
147 	 Madagascar 	 $       1,147,000,000 	 2004 est.
148 	 Swaziland 	 $       1,140,000,000 	 2004 est.
149 	 Haiti 	 $       1,085,000,000 	 2004 est.
150 	 Andorra 	 $       1,077,000,000 	 1998
151 	 Barbados 	 $       1,039,000,000 	 2002
152 	 New Caledonia 	 $       1,007,000,000 	 2002
153 	 Mongolia 	 $       1,000,000,000 	 2004 est.
154 	 Mozambique 	 $        972,900,000 	 2004 est.
155 	 Benin 	 $        934,500,000 	 2004 est.
156 	 Congo, Democratic Republic of the 	 $        933,000,000 	 2002 est.
157 	 Mali 	 $        927,000,000 	 2002 est.
158 	 Liechtenstein 	 $        917,300,000 	 1996
159 	 Burkina Faso 	 $        866,300,000 	 2004 est.
160 	 Mauritania 	 $        860,000,000 	 2002
161 	 Aruba 	 $        841,000,000 	 2002 est.
162 	 Fiji 	 $        835,000,000 	 2002
163 	 Togo 	 $        824,900,000 	 2004 est.
164 	 Kyrgyzstan 	 $        775,100,000 	 2004 est.
165 	 Congo, Republic of the 	 $        749,300,000 	 2004 est.
166 	 Lesotho 	 $        730,900,000 	 2004 est.
167 	 Antigua and Barbuda 	 $        692,000,000 	 2002 est.
168 	 Djibouti 	 $        665,000,000 	 2002 est.
169 	 Guyana 	 $        650,100,000 	 2004 est.
170 	 Guinea 	 $        641,500,000 	 2004 est.
171 	 French Guiana 	 $        625,000,000 	 2002 est.
172 	 Eritrea 	 $        622,000,000 	 2004 est.
173 	 Suriname 	 $        604,000,000 	 2002
174 	 Belize 	 $        579,900,000 	 2004 est.
175 	 Laos 	 $        579,500,000 	 2004 est.
176 	 Malawi 	 $        521,100,000 	 2004 est.
177 	 Chad 	 $        500,700,000 	 2004 est.
178 	 Faroe Islands 	 $        466,000,000 	 2002
179 	 Guam 	 $        462,000,000 	 2002 est.
180 	 Cayman Islands 	 $        457,400,000 	 1999
181 	 Greenland 	 $        445,000,000 	 2002
182 	 Cyprus 	 $        415,200,000 	 2004 est.
183 	 Niger 	 $        400,000,000 	 2002 est.
184 	 Seychelles 	 $        393,400,000 	 2004 est.
185 	 Maldives 	 $        392,000,000 	 2002 est.
186 	 Cape Verde 	 $        387,300,000 	 2004 est.
187 	 Somalia 	 $        344,000,000 	 2002 est.
188 	 Saint Lucia 	 $        267,000,000 	 2002 est.
189 	 Sierra Leone 	 $        264,000,000 	 2002 est.
190 	 Rwanda 	 $        260,000,000 	 2004 est.
191 	 Grenada 	 $        208,000,000 	 2002 est.
192 	 Bhutan 	 $        196,000,000 	 2000 est.
193 	 Saint Kitts and Nevis 	 $        195,000,000 	 2002 est.
194 	 British Virgin Islands 	 $        187,000,000 	 2002 est.
195 	 Gambia, The 	 $        180,900,000 	 2004 est.
196 	 Turks and Caicos Islands 	 $        175,600,000 	 2000
197 	 Saint Vincent and the Grenadines 	 $        174,000,000 	 2002 est.
198 	 East Timor 	 $        167,000,000 	 2004 est.
199 	 Micronesia, Federated States of 	 $        149,000,000 	 FY99/00 est.
200 	 Mayotte 	 $        141,300,000 	 1997
201 	 Burundi 	 $        138,200,000 	 2004 est.
202 	 Vanuatu 	 $        138,000,000 	 2002
203 	 Central African Republic 	 $        136,000,000 	 2002 est.
204 	 American Samoa 	 $        123,000,000 	 2002
205 	 Samoa 	 $        113,000,000 	 2002
206 	 Saint Pierre and Miquelon 	 $        106,000,000 	 2002
207 	 Guinea-Bissau 	 $        104,000,000 	 2002 est.
208 	 Palau 	 $         99,000,000 	 2001 est.
209 	 Dominica 	 $         98,200,000 	 2003 est.
210 	 Comoros 	 $         88,000,000 	 2002 est.
211 	 Tonga 	 $         86,000,000 	 2002 est.
212 	 Kiribati 	 $         83,000,000 	 2002
213 	 Anguilla 	 $         80,900,000 	 1999
214 	 Tuvalu 	 $         79,000,000 	 2002
215 	 Solomon Islands 	 $         67,000,000 	 2003
216 	 Marshall Islands 	 $         54,000,000 	 2000
217 	 Falkland Islands (Islas Malvinas) 	 $         53,000,000 	 2002
218 	 Cook Islands 	 $         50,700,000 	 2000
219 	 Saint Helena 	 $         42,000,000 	 2002
220 	 Sao Tome and Principe 	 $         41,000,000 	 2004 est.
221 	 Nauru 	 $         19,800,000 	 2004 est.
222 	 Norfolk Island 	 $         17,900,000 	 FY91/92
223 	 Montserrat 	 $         17,000,000 	 2001
224 	 Niue 	 $          2,380,000 	 1999
225 	 Tokelau 	 $           323,000 	 1983
226 	 Wallis and Futuna 	 $           300,000 	 1999

 This file was last updated on 20 October, 2005
