This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Highways(km) 	 Date of Information
199 	 Bermuda 	             450 	 2002
200 	 Falkland Islands (Islas Malvinas) 	             440 	 2002
201 	 Seychelles 	             373 	 1997 est.
202 	 Northern Mariana Islands 	             362 	 1991
203 	 Macau 	             341 	 2002
204 	 Cook Islands 	             320 	 2000
205 	 Sao Tome and Principe 	             320 	 1999 est.
206 	 Saint Kitts and Nevis 	             320 	 1999 est
207 	 Andorra 	             269 	 
208 	 Antigua and Barbuda 	             250 	 1999 est.
209 	 Liechtenstein 	             250 	 
210 	 Micronesia, Federated States of 	             240 	 1999 est.
211 	 Christmas Island 	             240 	 2000
212 	 Niue 	             234 	 2001
213 	 Montserrat 	             227 	 2003
214 	 San Marino 	             220 	 2001
215 	 Saint Helena 	             198 	 2000
216 	 American Samoa 	             185 	 2004
217 	 British Virgin Islands 	             177 	 2000
218 	 Turks and Caicos Islands 	             121 	 2000
219 	 Wallis and Futuna 	             120 	 
220 	 Saint Pierre and Miquelon 	             114 	 
221 	 Anguilla 	             105 	 1997
222 	 Mayotte 	              93 	 
223 	 Norfolk Island 	              80 	 2001
224 	 Marshall Islands 	              65 	 2002
225 	 Palau 	              61 	 
226 	 Monaco 	              50 	 1999 est.
227 	 Nauru 	              30 	 1999 est.
228 	 Gibraltar 	              29 	 2002
229 	 Cocos (Keeling) Islands 	              15 	 2003
230 	 Tuvalu 	               8 	 1999 est.
231 	 Pitcairn Islands 	               6 	 

 This file was last updated on 20 October, 2005
